R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R0;S2 -> S7;C6H6N12O11 -> C6H6N12O11;O=NN([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])[C@H]([N]N([O])[O])/C=N\N([O])[O]:O=NN1[C@H]([N]N([O])[O])[CH]N([C@H]2[C@H]1N(N([O])[O])[C@H](N2N([O])[O])/C=N/N([O])[O])N([O])[O];3.333333e+12;1.412111e+11;1.588389e+13;1
R0*;S7 -> S2;C6H6N12O11 -> C6H6N12O11;O=NN1[C@H]([N]N([O])[O])[CH]N([C@H]2[C@H]1N(N([O])[O])[C@H](N2N([O])[O])/C=N/N([O])[O])N([O])[O]:O=NN([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])[C@H]([N]N([O])[O])/C=N\N([O])[O];0.000000e+00;0.000000e+00;5.077512e+11;0
R1;S5 + S138 -> S4;C6H6N9O7 + NO2 -> C6H6N10O9;O=NN1C=C[N][C@H]2[C@H]1N(N([O])[O])[C@H](N2N([O])[O])/C=N\N([O])[O],[O]N=O:O=NN1C=CN([C@H]2[C@H]1N(N([O])[O])[C@H](N2N([O])[O])/C=N\N([O])[O])N([O])[O];4.014667e+11;1.700747e+10;1.913056e+12;1
R1*;S4 -> S5 + S138;C6H6N10O9 -> C6H6N9O7 + NO2;O=NN1C=CN([C@H]2[C@H]1N(N([O])[O])[C@H](N2N([O])[O])/C=N\N([O])[O])N([O])[O]:O=NN1C=C[N][C@H]2[C@H]1N(N([O])[O])[C@H](N2N([O])[O])/C=N\N([O])[O],[O]N=O;0.000000e+00;0.000000e+00;7.470654e+10;0
R2;S6 -> S9;C6H6N12O11 -> C6H6N12O11;O=NN1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O]:O=NN1[C@H]2[C@H]([N]N([O])[O])N([C@H]([C@H]1[N]N([O])[O])N(C=CN2N([O])[O])N([O])[O])N([O])[O];8.333333e+11;3.530278e+10;3.970974e+12;1
R2*;S9 -> S6;C6H6N12O11 -> C6H6N12O11;O=NN1[C@H]2[C@H]([N]N([O])[O])N([C@H]([C@H]1[N]N([O])[O])N(C=CN2N([O])[O])N([O])[O])N([O])[O]:O=NN1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;2.995732e+13;0
R3;S7 -> S13;C6H6N12O11 -> C6H6N12O11;O=NN1[C@H]([N]N([O])[O])[CH]N([C@H]2[C@H]1N(N([O])[O])[C@H](N2N([O])[O])/C=N/N([O])[O])N([O])[O]:O=N[N][C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O];1.694915e+11;7.180226e+09;8.076556e+11;1
R3*;S13 -> S7;C6H6N12O11 -> C6H6N12O11;O=N[N][C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O]:O=NN1[C@H]([N]N([O])[O])[CH]N([C@H]2[C@H]1N(N([O])[O])[C@H](N2N([O])[O])/C=N/N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;1.762195e+12;0
R4;S9 -> S2;C6H6N12O11 -> C6H6N12O11;O=NN1[C@H]2[C@H]([N]N([O])[O])N([C@H]([C@H]1[N]N([O])[O])N(C=CN2N([O])[O])N([O])[O])N([O])[O]:O=NN([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])[C@H]([N]N([O])[O])/C=N\N([O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R4*;S2 -> S9;C6H6N12O11 -> C6H6N12O11;O=NN([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])[C@H]([N]N([O])[O])/C=N\N([O])[O]:O=NN1[C@H]2[C@H]([N]N([O])[O])N([C@H]([C@H]1[N]N([O])[O])N(C=CN2N([O])[O])N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;9.985774e+12;0
