R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R0;S0 + S51 -> S50;N2 + C6H6N10O11 -> C6H6N12O11;N#N,[O]N(N1[C@H]([CH]N(N([O])[O])[O])N([C@H]2[C@H]1N(C=CN2N([O])[O])N([O])[O])N([O])[O])[O]:[O]N(N1ON=N[C@H]1[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[O];1.029402e+11;1.562120e+10;3.294714e+11;2
R0*;S50 -> S0 + S51;C6H6N12O11 -> N2 + C6H6N10O11;[O]N(N1ON=N[C@H]1[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[O]:N#N,[O]N(N1[C@H]([CH]N(N([O])[O])[O])N([C@H]2[C@H]1N(C=CN2N([O])[O])N([O])[O])N([O])[O])[O];1.250000e+12;1.896878e+11;4.000764e+12;2
R1;S0 + S73 -> S13;N2 + C6H6N10O11 -> C6H6N12O11;N#N,[O]N([N]/C=C\N([C@H]1[CH]N([C@H](N1N([O])[O])[CH]N(N([O])[O])[O])N([O])[O])N([O])[O])[O]:[N]=NON(N([O])[O])[CH][C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O];2.007333e+12;8.503733e+10;9.565281e+12;1
R1*;S13 -> S0 + S73;C6H6N12O11 -> N2 + C6H6N10O11;[N]=NON(N([O])[O])[CH][C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O]:N#N,[O]N([N]/C=C\N([C@H]1[CH]N([C@H](N1N([O])[O])[CH]N(N([O])[O])[O])N([O])[O])N([O])[O])[O];5.000000e+12;2.118167e+11;2.382584e+13;1
R2;S0 + S73 -> S50;N2 + C6H6N10O11 -> C6H6N12O11;N#N,[O]N([N]/C=C\N([C@H]1[CH]N([C@H](N1N([O])[O])[CH]N(N([O])[O])[O])N([O])[O])N([O])[O])[O]:[O]N(N1ON=N[C@H]1[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[O];2.007333e+12;8.503733e+10;9.565281e+12;1
R2*;S50 -> S0 + S73;C6H6N12O11 -> N2 + C6H6N10O11;[O]N(N1ON=N[C@H]1[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[O]:N#N,[O]N([N]/C=C\N([C@H]1[CH]N([C@H](N1N([O])[O])[CH]N(N([O])[O])[O])N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;1.872333e+12;0
R3;S1 + S2 -> S10;C6H6N10O9 + N2O3 -> C6H6N12O12;O=N/N=C\[C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O],O=NN([O])[O]:O=N[N][C@H]([C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O])N(N([O])[O])[O];1.605867e+11;2.436907e+10;5.139755e+11;2
R3*;S10 -> S1 + S2;C6H6N12O12 -> C6H6N10O9 + N2O3;O=N[N][C@H]([C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O])N(N([O])[O])[O]:O=N/N=C\[C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O],O=NN([O])[O];0.000000e+00;0.000000e+00;1.248222e+12;0
R4;S2 + S99 -> S2 + S6;N2O3 + C6H6N10O10 -> N2O3 + C6H6N10O10;O=NN([O])[O],[O]N([N][C@H]1[C@H]2N(C=CN([C@H](N1N([O])[O])[CH]N2N([O])[O])N([O])[O])N([O])[O])[O]:O=NN([O])[O],O=NN1[CH][C@H]2N([C@H]([C@H]1N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O])N([O])[O];1.824848e+11;7.730666e+09;8.695710e+11;1
R4*;S2 + S6 -> S2 + S99;N2O3 + C6H6N10O10 -> N2O3 + C6H6N10O10;O=NN([O])[O],O=NN1[CH][C@H]2N([C@H]([C@H]1N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O])N([O])[O]:O=NN([O])[O],[O]N([N][C@H]1[C@H]2N(C=CN([C@H](N1N([O])[O])[CH]N2N([O])[O])N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;6.013433e+12;0
R5;S2 + S99 -> S100;N2O3 + C6H6N10O10 -> C6H6N12O13;O=NN([O])[O],[O]N([N][C@H]1[C@H]2N(C=CN([C@H](N1N([O])[O])[CH]N2N([O])[O])N([O])[O])N([O])[O])[O]:[O]N([N][C@H]1[C@H]2N(N([O])[O])[C@H]([C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O])[O];1.824848e+11;7.730666e+09;8.695710e+11;1
R5*;S100 -> S2 + S99;C6H6N12O13 -> N2O3 + C6H6N10O10;[O]N([N][C@H]1[C@H]2N(N([O])[O])[C@H]([C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O])[O]:O=NN([O])[O],[O]N([N][C@H]1[C@H]2N(C=CN([C@H](N1N([O])[O])[CH]N2N([O])[O])N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;2.139809e+12;0
R6;S3 -> S12 + S20;C6H6N8O7 -> C4H4N4O3 + C2H2N4O4;O=NN1C=CN([C@H]([CH]1)N(N([O])[O])[CH]/C=N\N([O])[O])N([O])[O]:O=Nn1ccn(cc1)N([O])[O],[O]N(/N=C/C=N\N([O])[O])[O];8.333333e+11;1.264586e+11;2.667176e+12;2
R6*;S12 + S20 -> S3;C4H4N4O3 + C2H2N4O4 -> C6H6N8O7;O=Nn1ccn(cc1)N([O])[O],[O]N(/N=C/C=N\N([O])[O])[O]:O=NN1C=CN([C@H]([CH]1)N(N([O])[O])[CH]/C=N\N([O])[O])N([O])[O];4.014667e+11;1.700747e+10;1.913056e+12;1
R7;S6 -> S2 + S3;C6H6N10O10 -> N2O3 + C6H6N8O7;O=NN1[CH][C@H]2N([C@H]([C@H]1N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O])N([O])[O]:O=NN([O])[O],O=NN1C=CN([C@H]([CH]1)N(N([O])[O])[CH]/C=N\N([O])[O])N([O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
