R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R0;S0 + S383 -> S61;CHN + CHN -> C2H2N2;C#N,[C]=N:N=[C]C=[N];5.018333e+11;2.125933e+10;2.391320e+12;1
R0*;S61 -> S0 + S383;C2H2N2 -> CHN + CHN;N=[C]C=[N]:C#N,[C]=N;0.000000e+00;0.000000e+00;2.139809e+12;0
R1;S2 + S477 -> S368;C7H5NO2 + HO -> C7H6NO3;CC1=C=CC(=C[C]1)N([O])[O],[OH]:O[C@H]1[C]=C(C)[C]C=C1N([O])[O];4.880065e+09;2.067358e+08;2.325433e+10;1
R1*;S368 -> S2 + S477;C7H6NO3 -> C7H5NO2 + HO;O[C@H]1[C]=C(C)[C]C=C1N([O])[O]:CC1=C=CC(=C[C]1)N([O])[O],[OH];6.666667e+11;2.824222e+10;3.176779e+12;1
R2;S4 + S625 -> S571;C7H5N2O4 + NO2 -> C7H5N3O6;C[C]1C(=C[C]C=C1N([O])[O])N([O])[O],[O]N=O:[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])[O])C)[O];5.236522e+10;2.218365e+09;2.495291e+11;1
R2*;S571 -> S4 + S625;C7H5N3O6 -> C7H5N2O4 + NO2;[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])[O])C)[O]:C[C]1C(=C[C]C=C1N([O])[O])N([O])[O],[O]N=O;0.000000e+00;0.000000e+00;2.972841e+09;0
R3;S6 + S389 + S477 -> S57 + S194;C2N2 + H2N + HO -> C2HN3 + H2O;N#CC#N,[NH2],[OH]:N=N[C]=C=[N],O;5.330739e+07;2.258279e+06;2.540187e+08;1
R3*;S57 + S194 -> S6 + S389 + S477;C2HN3 + H2O -> C2N2 + H2N + HO;N=N[C]=C=[N],O:N#CC#N,[NH2],[OH];0.000000e+00;0.000000e+00;9.293375e+08;0
R4;S7 + S382 -> S467;C2N2O + C2HN -> C4HN3O;N#COC#N,[C]=C=N:[N]=[C]O[C]N=C=C=N;3.961842e+10;1.678368e+09;1.887884e+11;1
R4*;S467 -> S7 + S382;C4HN3O -> C2N2O + C2HN;[N]=[C]O[C]N=C=C=N:N#COC#N,[C]=C=N;0.000000e+00;0.000000e+00;7.489331e+12;0
R5;S7 -> S380 + S479;C2N2O -> CN + CNO;N#COC#N:[C]#N,[O]C#N;6.711409e+10;1.018458e+10;2.148061e+11;2
R5*;S380 + S479 -> S7;CN + CNO -> C2N2O;[C]#N,[O]C#N:N#COC#N;0.000000e+00;0.000000e+00;2.080773e+10;0
R6;S8 -> S6 + S479;C3N3O -> C2N2 + CNO;N#CON=C=C=[N]:N#CC#N,[O]C#N;1.000000e+13;4.236333e+11;4.765168e+13;1
R6*;S6 + S479 -> S8;C2N2 + CNO -> C3N3O;N#CC#N,[O]C#N:N#CON=C=C=[N];0.000000e+00;0.000000e+00;1.300670e+10;0
R7;S5 + S300 -> S373;H3N + C2H2N2O2 -> C2H5N3O2;N,OC(=C=N)N=O:O[N]/C(=C(/[NH])\N)/O;6.272917e+10;2.657417e+09;2.989150e+11;1
R7*;S373 -> S5 + S300;C2H5N3O2 -> H3N + C2H2N2O2;O[N]/C(=C(/[NH])\N)/O:N,OC(=C=N)N=O;0.000000e+00;0.000000e+00;2.475812e+11;0
R8;S5 + S379 + S625 -> S15;H3N + C2HNO2 + NO2 -> C2H4N3O4;N,[CH]=[C]N([O])[O],[O]N=O:N/C=C(/N([O])[O])\N([O])O;3.041307e+06;1.288399e+05;1.449234e+07;1
R8*;S15 -> S5 + S379 + S625;C2H4N3O4 -> H3N + C2HNO2 + NO2;N/C=C(/N([O])[O])\N([O])O:N,[CH]=[C]N([O])[O],[O]N=O;0.000000e+00;0.000000e+00;1.664296e+12;0
R9;S5 + S386 -> S379 + S389;H3N + C2NO2 -> C2HNO2 + H2N;N,[C]=[C]N([O])[O]:[CH]=[C]N([O])[O],[NH2];1.075357e+10;4.555571e+08;5.124258e+10;1
R9*;S379 + S389 -> S5 + S386;C2HNO2 + H2N -> H3N + C2NO2;[CH]=[C]N([O])[O],[NH2]:N,[C]=[C]N([O])[O];0.000000e+00;0.000000e+00;4.502196e+09;0
R10;S5 + S387 + S584 -> S5 + S334;H3N + H + C2HN2O2 -> H3N + C2H2N2O2;N,[H],[O]N([C]=C=N)[O]:N,ON([C]=C=N)[O];3.288788e+07;1.393240e+06;1.567163e+08;1
R10*;S5 + S334 -> S5 + S387 + S584;H3N + C2H2N2O2 -> H3N + H + C2HN2O2;N,ON([C]=C=N)[O]:N,[H],[O]N([C]=C=N)[O];0.000000e+00;0.000000e+00;4.705347e+08;0
R11;S5 + S389 -> S114 + S387;H3N + H2N -> H4N2 + H;N,[NH2]:NN,[H];1.282387e+07;5.432619e+05;6.110790e+07;1
R11*;S114 + S387 -> S5 + S389;H4N2 + H -> H3N + H2N;NN,[H]:N,[NH2];6.994193e+09;2.962973e+08;3.332851e+10;1
