R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R0;S0 + S359 -> S435;CHN + CO -> C2HNO;C#N,[C]=O:[N]=C[C]=O;1.106985e+10;4.689559e+08;5.274971e+10;1
R0*;S435 -> S0 + S359;C2HNO -> CHN + CO;[N]=C[C]=O:C#N,[C]=O;1.250000e+12;5.295417e+10;5.956460e+12;1
R1;S3 + S438 -> S425;C2N2 + NO -> C2N3O;N#CC#N,[N]=O:[N]=C=C=NN=O;3.196391e+08;1.354098e+07;1.523134e+09;1
R1*;S425 -> S3 + S438;C2N3O -> C2N2 + NO;[N]=C=C=NN=O:N#CC#N,[N]=O;0.000000e+00;0.000000e+00;0.000000e+00;0
R2;S5 + S220 -> S219;C3N3 + C2H3N4O3 -> C5H3N7O3;N#CN=C=C=[N],O=N/C(=C(/[NH])\N)/N([O])[O]:O=N/C(=C(/N/N=[C]/N=C=C=[N])\N)/N([O])[O];4.014667e+10;1.700747e+09;1.913056e+11;1
R2*;S219 -> S5 + S220;C5H3N7O3 -> C3N3 + C2H3N4O3;O=N/C(=C(/N/N=[C]/N=C=C=[N])\N)/N([O])[O]:N#CN=C=C=[N],O=N/C(=C(/[NH])\N)/N([O])[O];0.000000e+00;0.000000e+00;2.723393e+12;0
R3;S6 -> S354 + S450;C2N2O -> CN + CNO;N#COC#N:[C]#N,[O]C#N;2.000000e+12;3.035006e+11;6.401222e+12;2
R3*;S354 + S450 -> S6;CN + CNO -> C2N2O;[C]#N,[O]C#N:N#COC#N;0.000000e+00;0.000000e+00;1.333355e+10;0
R4;S7 + S52 -> S66 + S436;N2 + C2HN3O -> HN2 + C2N3O;N#N,N=NC#CN=O:N=[N],[N]=NC#CN=O;1.344196e+10;5.694464e+08;6.405322e+10;1
R4*;S66 + S436 -> S7 + S52;HN2 + C2N3O -> N2 + C2HN3O;N=[N],[N]=NC#CN=O:N#N,N=NC#CN=O;0.000000e+00;0.000000e+00;2.389444e+10;0
R5;S2 + S96 -> S238 + S362;H3N + C2H2N3O -> C2H3N3O + H2N;N,NC(=[N])C1=NO1:O=N/[C]=C(/N)\[NH],[NH2];8.664748e+09;3.670676e+08;4.128898e+10;1
R5*;S238 + S362 -> S2 + S96;C2H3N3O + H2N -> H3N + C2H2N3O;O=N/[C]=C(/N)\[NH],[NH2]:N,NC(=[N])C1=NO1;0.000000e+00;0.000000e+00;1.329915e+09;0
R6;S2 + S362 -> S112 + S360;H3N + H2N -> H4N2 + H;N,[NH2]:NN,[H];2.522356e+07;3.827683e+06;8.073082e+07;2
R6*;S112 + S360 -> S2 + S362;H4N2 + H -> H3N + H2N;NN,[H]:N,[NH2];2.017420e+10;3.061441e+09;6.456978e+10;2
R7;S2 + S363 -> S112;H3N + HN -> H4N2;N,[NH]:NN;1.896693e+09;2.878237e+08;6.070576e+09;2
R7*;S112 -> S2 + S363;H4N2 -> H3N + HN;NN:N,[NH];3.514938e+09;1.489045e+08;1.674927e+10;1
R8;S2 + S398 -> S362 + S362 + S387;H3N + C2H2N3O -> H2N + H2N + C2HN2O;N,[NH]C(=N)C1=NO1:[NH2],[NH2],[NH]C#CN=O;3.469494e+08;1.469793e+07;1.653272e+09;1
R8*;S362 + S362 + S387 -> S2 + S398;H2N + H2N + C2HN2O -> H3N + C2H2N3O;[NH2],[NH2],[NH]C#CN=O:N,[NH]C(=N)C1=NO1;0.000000e+00;0.000000e+00;4.267503e+06;0
R9;S2 + S410 -> S112 + S385;H3N + C2H3N3O2 -> H4N2 + C2H2N2O2;N,[NH]N/C=[C]/N([O])[O]:NN,[NH]/C=[C]/N([O])[O];8.988060e+10;3.807642e+09;4.282962e+11;1
R9*;S112 + S385 -> S2 + S410;H4N2 + C2H2N2O2 -> H3N + C2H3N3O2;NN,[NH]/C=[C]/N([O])[O]:N,[NH]N/C=[C]/N([O])[O];0.000000e+00;0.000000e+00;3.727335e+10;0
R10;S2 + S447 -> S206 + S362;H3N + HO -> H2O + H2N;N,[OH]:O,[NH2];6.027274e+08;1.818670e+08;1.420963e+09;4
R10*;S206 + S362 -> S2 + S447;H2O + H2N -> H3N + HO;O,[NH2]:N,[OH];1.455822e+07;2.209214e+06;4.659520e+07;2
R11;S2 + S471 -> S362 + S493;H3N + C2H3N4O4 -> H2N + C2H4N4O4;N,[O]N(C(=C(N)[NH])N([O])[O])[O]:[NH2],[O]N(C(C(=N)N)N([O])[O])[O];6.468453e+07;2.740252e+06;3.082326e+08;1
R11*;S362 + S493 -> S2 + S471;H2N + C2H4N4O4 -> H3N + C2H3N4O4;[NH2],[O]N(C(C(=N)N)N([O])[O])[O]:N,[O]N(C(=C(N)[NH])N([O])[O])[O];0.000000e+00;0.000000e+00;3.304084e+10;0
R12;S2 + S476 -> S362 + S475;H3N + C2H2N4O4 -> H2N + C2H3N4O4;N,[O]N(C(=C([NH])[NH])N([O])[O])[O]:[NH2],[O]N(C(=C([NH])N)N([O])[O])[O];2.865981e+08;1.214125e+07;1.365688e+09;1
R12*;S362 + S475 -> S2 + S476;H2N + C2H3N4O4 -> H3N + C2H2N4O4;[NH2],[O]N(C(=C([NH])N)N([O])[O])[O]:N,[O]N(C(=C([NH])[NH])N([O])[O])[O];0.000000e+00;0.000000e+00;1.231050e+08;0
R13;S2 + S483 -> S362 + S478;H3N + C2N3O4 -> H2N + C2HN3O4;N,[O]N(C(=C=[N])N([O])[O])[O]:[NH2],[O]N(C(=C=N)N([O])[O])[O];9.889316e+07;4.189444e+06;4.712425e+08;1
R13*;S362 + S478 -> S2 + S483;H2N + C2HN3O4 -> H3N + C2N3O4;[NH2],[O]N(C(=C=N)N([O])[O])[O]:N,[O]N(C(=C=[N])N([O])[O])[O];0.000000e+00;0.000000e+00;8.906767e+07;0
R14;S2 + S520 -> S74 + S362 + S536;H3N + C2HN2O2 -> C2H2N + H2N + NO2;N,[O]N([C]=C=N)[O]:NC#[C],[NH2],[O]N=O;3.079472e+07;1.304567e+06;1.467420e+08;1
R14*;S74 + S362 + S536 -> S2 + S520;C2H2N + H2N + NO2 -> H3N + C2HN2O2;NC#[C],[NH2],[O]N=O:N,[O]N([C]=C=N)[O];0.000000e+00;0.000000e+00;5.606061e+06;0
R15;S2 + S535 -> S143 + S362;H3N + HN2O -> H2N2O + H2N;N,[O]N=N:NN=O,[NH2];4.217087e+09;1.786499e+08;2.009513e+10;1
R15*;S143 + S362 -> S2 + S535;H2N2O + H2N -> H3N + HN2O;NN=O,[NH2]:N,[O]N=N;1.319486e+08;5.589781e+06;6.287571e+08;1
R16;S9 -> S5 + S92;C5H3N6O -> C3N3 + C2H3N3O;N/C(=C/1\[N]O1)/N/N=[C]/N=C=C=[N]:N#CN=C=C=[N],NC(=N)C1=NO1;2.500000e+12;1.059083e+11;1.191292e+13;1
R16*;S5 + S92 -> S9;C3N3 + C2H3N3O -> C5H3N6O;N#CN=C=C=[N],NC(=N)C1=NO1:N/C(=C/1\[N]O1)/N/N=[C]/N=C=C=[N];0.000000e+00;0.000000e+00;2.509082e+10;0
R17;S10 -> S48 + S68;C2H4N4O -> H2N2 + C2H2N2O;N/C(=C/1\[N]O1)/N[NH]:N=N,NC#CN=O;1.000000e+13;4.236333e+11;4.765168e+13;1
