R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R0;S1 -> S8;C3H5N4O -> C3H5N4O;C1[N]CN=CN1N=O:C=NCN=CN=N[O];2.222222e+11;9.414074e+09;1.058926e+12;1
R0*;S8 -> S1;C3H5N4O -> C3H5N4O;C=NCN=CN=N[O]:C1[N]CN=CN1N=O;0.000000e+00;0.000000e+00;2.995732e+11;0
R1;S3 -> S5 + S13 + S50;C3H6N6O5 -> C3H6N3O2 + N2 + NO3;C=NCN(N([O])[O])C/N=N/ON([O])[O]:C=NCN(N([O])[O])[CH2],N#N,[O]N([O])[O];2.000000e+12;8.472667e+10;9.530336e+12;1
R1*;S5 + S13 + S50 -> S3;C3H6N3O2 + N2 + NO3 -> C3H6N6O5;C=NCN(N([O])[O])[CH2],N#N,[O]N([O])[O]:C=NCN(N([O])[O])C/N=N/ON([O])[O];0.000000e+00;0.000000e+00;3.195255e+11;0
R2;S4 -> S10 + S11;C3H6N5O4 -> C2H4N3O2 + CH2N2O2;C=NCN(N([O])[O])C[N]N([O])[O]:C=NC[N]N([O])[O],C=NN([O])[O];8.264463e+10;4.404545e+10;1.390615e+11;12
R2*;S10 + S11 -> S4;C2H4N3O2 + CH2N2O2 -> C3H6N5O4;C=NC[N]N([O])[O],C=NN([O])[O]:C=NCN(N([O])[O])C[N]N([O])[O];7.571985e+08;1.149051e+08;2.423498e+09;2
R3;S4 -> S11 + S11 + S12;C3H6N5O4 -> CH2N2O2 + CH2N2O2 + CH2N;C=NCN(N([O])[O])C[N]N([O])[O]:C=NN([O])[O],C=NN([O])[O],C=[N];2.066116e+10;4.907031e+09;5.474033e+10;3
R3*;S11 + S11 + S12 -> S4;CH2N2O2 + CH2N2O2 + CH2N -> C3H6N5O4;C=NN([O])[O],C=NN([O])[O],C=[N]:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;1.618888e+07;0
R4;S4 -> S12 + S49;C3H6N5O4 -> CH2N + C2H4N4O4;C=NCN(N([O])[O])C[N]N([O])[O]:C=[N],[O]N([N]CN(N([O])[O])[CH2])[O];6.887052e+09;2.917585e+08;3.281796e+10;1
R4*;S12 + S49 -> S4;CH2N + C2H4N4O4 -> C3H6N5O4;C=[N],[O]N([N]CN(N([O])[O])[CH2])[O]:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;1.804030e+12;0
R5;S4 -> S14 + S54;C3H6N5O4 -> C3H6N4O2 + NO2;C=NCN(N([O])[O])C[N]N([O])[O]:N=CN(N([O])[O])CN=C,[O]N=O;6.887052e+09;2.917585e+08;3.281796e+10;1
R5*;S14 + S54 -> S4;C3H6N4O2 + NO2 -> C3H6N5O4;N=CN(N([O])[O])CN=C,[O]N=O:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;1.764850e+09;0
R6;S4 -> S24;C3H6N5O4 -> C3H6N5O4;C=NCN(N([O])[O])C[N]N([O])[O]:[CH]=NCN(N([O])[O])CNN([O])[O];6.887052e+09;2.917585e+08;3.281796e+10;1
R6*;S24 -> S4;C3H6N5O4 -> C3H6N5O4;[CH]=NCN(N([O])[O])CNN([O])[O]:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;7.489331e+12;0
R7;S4 -> S25 + S36;C3H6N5O4 -> H + C3H5N5O4;C=NCN(N([O])[O])C[N]N([O])[O]:[H],[O]N(N1CN=CN(C1)N([O])[O])[O];6.887052e+09;2.917585e+08;3.281796e+10;1
R7*;S25 + S36 -> S4;H + C3H5N5O4 -> C3H6N5O4;[H],[O]N(N1CN=CN(C1)N([O])[O])[O]:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;1.804030e+13;0
R8;S4 -> S37 + S54;C3H6N5O4 -> C3H6N4O2 + NO2;C=NCN(N([O])[O])C[N]N([O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;6.887052e+09;2.917585e+08;3.281796e+10;1
R8*;S37 + S54 -> S4;C3H6N4O2 + NO2 -> C3H6N5O4;[O]N(N1CNC=NC1)[O],[O]N=O:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;7.973613e+07;0
R9;S5 -> S11 + S22;C3H6N3O2 -> CH2N2O2 + C2H4N;C=NCN(N([O])[O])[CH2]:C=NN([O])[O],[CH2]N=C;5.882353e+11;2.491961e+10;2.803040e+12;1
R9*;S11 + S22 -> S5;CH2N2O2 + C2H4N -> C3H6N3O2;C=NN([O])[O],[CH2]N=C:C=NCN(N([O])[O])[CH2];0.000000e+00;0.000000e+00;3.912448e+09;0
R10;S6 -> S22 + S32;C3H6N5O4 -> C2H4N + CH2N4O4;C=NCN(N([O])[O])[CH]NN([O])[O]:[CH2]N=C,[O]N(N/C=N\N([O])[O])[O];1.000000e+12;4.236333e+10;4.765168e+12;1
R10*;S22 + S32 -> S6;C2H4N + CH2N4O4 -> C3H6N5O4;[CH2]N=C,[O]N(N/C=N\N([O])[O])[O]:C=NCN(N([O])[O])[CH]NN([O])[O];0.000000e+00;0.000000e+00;9.020150e+12;0
R11;S7 -> S2;C6H11N8O4 -> C6H11N8O4;C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O]:C=NCN(N(O)[O])/C=N\N1C=NCN(C1)N([O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R11*;S2 -> S7;C6H11N8O4 -> C6H11N8O4;C=NCN(N(O)[O])/C=N\N1C=NCN(C1)N([O])[O]:C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O];0.000000e+00;0.000000e+00;1.198293e+12;0
R12;S10 -> S11 + S12;C2H4N3O2 -> CH2N2O2 + CH2N;C=NC[N]N([O])[O]:C=NN([O])[O],C=[N];1.476015e+11;7.866420e+10;2.483608e+11;12
R12*;S11 + S12 -> S10;CH2N2O2 + CH2N -> C2H4N3O2;C=NN([O])[O],C=[N]:C=NC[N]N([O])[O];5.671323e+08;1.346941e+08;1.502579e+09;3
R13;S11 + S23 -> S9 + S54;CH2N2O2 + CH3N2O2 -> C2H5N3O2 + NO2;C=NN([O])[O],[CH2]NN([O])[O]:C=NCNN([O])[O],[O]N=O;1.003667e+12;4.251867e+10;4.782641e+12;1
R13*;S9 + S54 -> S11 + S23;C2H5N3O2 + NO2 -> CH2N2O2 + CH3N2O2;C=NCNN([O])[O],[O]N=O:C=NN([O])[O],[CH2]NN([O])[O];0.000000e+00;0.000000e+00;1.046543e+09;0
R14;S12 + S47 -> S0 + S46;CH2N + C7H5N3O6 -> CHN + C7H6N3O6;C=[N],[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])[O])C)[O]:C#N,[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])O)C)[O];1.301885e+08;5.515220e+06;6.203702e+08;1
R14*;S0 + S46 -> S12 + S47;CHN + C7H6N3O6 -> CH2N + C7H5N3O6;C#N,[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])O)C)[O]:C=[N],[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])[O])C)[O];0.000000e+00;0.000000e+00;6.094696e+10;0
R15;S12 + S49 -> S10 + S11;CH2N + C2H4N4O4 -> C2H4N3O2 + CH2N2O2;C=[N],[O]N([N]CN(N([O])[O])[CH2])[O]:C=NC[N]N([O])[O],C=NN([O])[O];6.022000e+11;2.551120e+10;2.869584e+12;1
R15*;S10 + S11 -> S12 + S49;C2H4N3O2 + CH2N2O2 -> CH2N + C2H4N4O4;C=NC[N]N([O])[O],C=NN([O])[O]:C=[N],[O]N([N]CN(N([O])[O])[CH2])[O];0.000000e+00;0.000000e+00;1.134182e+09;0
