t [steps];R0;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;R31;R32;R33;R34;R35;R36;R37;R38;R39;R40;R41;R42;R43;R44;R45;R46;R47;R48;R49;R50;R51;R52;R53;R54;R55;R56
;S1 -> S8;S3 -> S5 + S13 + S50;S4 -> S10 + S11;S4 -> S11 + S11 + S12;S4 -> S12 + S49;S4 -> S14 + S54;S4 -> S24;S4 -> S25 + S36;S4 -> S37 + S54;S5 -> S11 + S22;S6 -> S22 + S32;S7 -> S2;S10 -> S11 + S12;S11 + S23 -> S9 + S54;S12 + S47 -> S0 + S46;S12 + S49 -> S10 + S11;S14 + S38 -> S7;S14 + S54 -> S6;S15 -> S1 + S54;S16 -> S17 + S54;S17 + S54 -> S45;S18 -> S15 + S54;S20 -> S21 + S38 + S54;S22 + S32 -> S14 + S54;S24 -> S0 + S11 + S23;S25 + S36 -> S37 + S54;S27 -> S37 + S54;S28 -> S52 + S52;S29 -> S41;S31 + S35 -> S34;S31 + S37 -> S30 + S38;S31 + S54 -> S44;S33 -> S16 + S53;S34 -> S16 + S29;S35 + S39 -> S33;S35 + S54 -> S42;S35 + S54 -> S43 + S54;S35 + S54 -> S48 + S54 + S55;S35 -> S4 + S54;S35 -> S18 + S26;S35 -> S20;S35 -> S39 + S54;S35 -> S40 + S54;S36 -> S38 + S54;S37 + S52 -> S38 + S51;S37 + S54 -> S21 + S38;S39 -> S4;S39 -> S10 + S11;S39 -> S37 + S54;S39 -> S40;S40 -> S27;S40 -> S37 + S54;S42 -> S16 + S50;S43 + S54 -> S42;S45 -> S3;S48 -> S36;S52 + S54 -> S19
;C3H5N4O -> C3H5N4O;C3H6N6O5 -> C3H6N3O2 + N2 + NO3;C3H6N5O4 -> C2H4N3O2 + CH2N2O2;C3H6N5O4 -> CH2N2O2 + CH2N2O2 + CH2N;C3H6N5O4 -> CH2N + C2H4N4O4;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> C3H6N5O4;C3H6N5O4 -> H + C3H5N5O4;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N3O2 -> CH2N2O2 + C2H4N;C3H6N5O4 -> C2H4N + CH2N4O4;C6H11N8O4 -> C6H11N8O4;C2H4N3O2 -> CH2N2O2 + CH2N;CH2N2O2 + CH3N2O2 -> C2H5N3O2 + NO2;CH2N + C7H5N3O6 -> CHN + C7H6N3O6;CH2N + C2H4N4O4 -> C2H4N3O2 + CH2N2O2;C3H6N4O2 + C3H5N4O2 -> C6H11N8O4;C3H6N4O2 + NO2 -> C3H6N5O4;C3H5N5O3 -> C3H5N4O + NO2;C3H6N6O5 -> C3H6N5O3 + NO2;C3H6N5O3 + NO2 -> C3H6N6O5;C3H5N6O5 -> C3H5N5O3 + NO2;C3H6N6O6 -> HNO2 + C3H5N4O2 + NO2;C2H4N + CH2N4O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> CHN + CH2N2O2 + CH3N2O2;H + C3H5N5O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> C3H6N4O2 + NO2;C14H10N6O12 -> C7H5N3O6 + C7H5N3O6;C7H5N3O7 -> C7H5N3O7;C7H5N3O6 + C3H6N6O6 -> C10H11N9O12;C7H5N3O6 + C3H6N4O2 -> C7H6N3O6 + C3H5N4O2;C7H5N3O6 + NO2 -> C7H5N4O8;C6H12N11O10 -> C3H6N6O5 + C3H6N5O5;C10H11N9O12 -> C3H6N6O5 + C7H5N3O7;C3H6N6O6 + C3H6N5O4 -> C6H12N11O10;C3H6N6O6 + NO2 -> C3H6N7O8;C3H6N6O6 + NO2 -> C3H6N6O6 + NO2;C3H6N6O6 + NO2 -> C3H5N5O4 + NO2 + HNO2;C3H6N6O6 -> C3H6N5O4 + NO2;C3H6N6O6 -> C3H5N6O5 + HO;C3H6N6O6 -> C3H6N6O6;C3H6N6O6 -> C3H6N5O4 + NO2;C3H6N6O6 -> C3H6N5O4 + NO2;C3H5N5O4 -> C3H5N4O2 + NO2;C3H6N4O2 + C7H5N3O6 -> C3H5N4O2 + C7H6N3O6;C3H6N4O2 + NO2 -> HNO2 + C3H5N4O2;C3H6N5O4 -> C3H6N5O4;C3H6N5O4 -> C2H4N3O2 + CH2N2O2;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> C3H6N5O4;C3H6N5O4 -> C3H6N5O4;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N7O8 -> C3H6N6O5 + NO3;C3H6N6O6 + NO2 -> C3H6N7O8;C3H6N6O5 -> C3H6N6O5;C3H5N5O4 -> C3H5N5O4;C7H5N3O6 + NO2 -> C7H5N4O8
;C1[N]CN=CN1N=O:C=NCN=CN=N[O];C=NCN(N([O])[O])C/N=N/ON([O])[O]:C=NCN(N([O])[O])[CH2],N#N,[O]N([O])[O];C=NCN(N([O])[O])C[N]N([O])[O]:C=NC[N]N([O])[O],C=NN([O])[O];C=NCN(N([O])[O])C[N]N([O])[O]:C=NN([O])[O],C=NN([O])[O],C=[N];C=NCN(N([O])[O])C[N]N([O])[O]:C=[N],[O]N([N]CN(N([O])[O])[CH2])[O];C=NCN(N([O])[O])C[N]N([O])[O]:N=CN(N([O])[O])CN=C,[O]N=O;C=NCN(N([O])[O])C[N]N([O])[O]:[CH]=NCN(N([O])[O])CNN([O])[O];C=NCN(N([O])[O])C[N]N([O])[O]:[H],[O]N(N1CN=CN(C1)N([O])[O])[O];C=NCN(N([O])[O])C[N]N([O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;C=NCN(N([O])[O])[CH2]:C=NN([O])[O],[CH2]N=C;C=NCN(N([O])[O])[CH]NN([O])[O]:[CH2]N=C,[O]N(N/C=N\N([O])[O])[O];C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O]:C=NCN(N(O)[O])/C=N\N1C=NCN(C1)N([O])[O];C=NC[N]N([O])[O]:C=NN([O])[O],C=[N];C=NN([O])[O],[CH2]NN([O])[O]:C=NCNN([O])[O],[O]N=O;C=[N],[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])[O])C)[O]:C#N,[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])O)C)[O];C=[N],[O]N([N]CN(N([O])[O])[CH2])[O]:C=NC[N]N([O])[O],C=NN([O])[O];N=CN(N([O])[O])CN=C,[O]N(N1C[N]C=NC1)[O]:C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O];N=CN(N([O])[O])CN=C,[O]N=O:C=NCN(N([O])[O])[CH]NN([O])[O];O=NN1C=NCN(C1)N([O])[O]:C1[N]CN=CN1N=O,[O]N=O;O=NN1CN(CN(C1)N([O])[O])N([O])[O]:O=NN1C[N]CN(C1)N([O])[O],[O]N=O;O=NN1C[N]CN(C1)N([O])[O],[O]N=O:[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O];O=NN1[CH]N(CN(C1)N([O])[O])N([O])[O]:O=NN1C=NCN(C1)N([O])[O],[O]N=O;ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O]:ON=O,[O]N(N1C[N]C=NC1)[O],[O]N=O;[CH2]N=C,[O]N(N/C=N\N([O])[O])[O]:N=CN(N([O])[O])CN=C,[O]N=O;[CH]=NCN(N([O])[O])CNN([O])[O]:C#N,C=NN([O])[O],[CH2]NN([O])[O];[H],[O]N(N1CN=CN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;[O]N(/N=C\NCN(N([O])[O])[CH2])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;[O]N(C1=C(C)C(=C[C@]([CH]1)(ON(c1cc(cc(c1C)N([O])[O])N([O])[O])[O])N([O])[O])N([O])[O])[O]:[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O];[O]N(C1=CC(=C([C@]([CH]1)([O])N([O])[O])C)N([O])[O])[O]:[O]N(OC1=C(C)[C](C=C([CH]1)N([O])[O])N([O])[O])[O];[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])O[C@]1([CH]C(=CC(=C1C)N([O])[O])N([O])[O])N([O])[O];[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N(N1CNC=NC1)[O]:[O]N(C1=C[C](C(=C([CH]1)N([O])O)C)N([O])[O])[O],[O]N(N1C[N]C=NC1)[O];[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N=O:[O]N(ON([C]1C=C([CH]C(=C1C)N([O])[O])N([O])[O])[O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])ON1CN(CN(C1)N([O])[O])N([O])[O]:O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N1CN(CN(C1)N([O])[O])N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])O[C@]1([CH]C(=CC(=C1C)N([O])[O])N([O])[O])N([O])[O]:O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N(C1=CC(=C([C@]([CH]1)([O])N([O])[O])C)N([O])[O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O],[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])ON1CN(CN(C1)N([O])[O])N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O],[O]N=O:[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O],[O]N=O:[O]N(ON(N1C[N]CN(C1)N([O])[O])[O])[O],[O]N=O;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O],[O]N=O:[O]N([N]/C=N\CN(N([O])[O])[CH2])[O],[O]N=O,[O]N[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:C=NCN(N([O])[O])C[N]N([O])[O],[O]N=O;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:O=NN1[CH]N(CN(C1)N([O])[O])N([O])[O],[OH];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:[O]N(N1C[N]CN(C1)N([O])[O])[O],[O]N=O;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:[O]N(N1[CH]NCN(C1)N([O])[O])[O],[O]N=O;[O]N(N1CN=CN(C1)N([O])[O])[O]:[O]N(N1C[N]C=NC1)[O],[O]N=O;[O]N(N1CNC=NC1)[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O]:[O]N(N1C[N]C=NC1)[O],[O]N(c1cc(N([O])[O])c(c(c1)N(O)[O])C)[O];[O]N(N1CNC=NC1)[O],[O]N=O:ON=O,[O]N(N1C[N]C=NC1)[O];[O]N(N1C[N]CN(C1)N([O])[O])[O]:C=NCN(N([O])[O])C[N]N([O])[O];[O]N(N1C[N]CN(C1)N([O])[O])[O]:C=NC[N]N([O])[O],C=NN([O])[O];[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1[CH]NCN(C1)N([O])[O])[O];[O]N(N1[CH]NCN(C1)N([O])[O])[O]:[O]N(/N=C\NCN(N([O])[O])[CH2])[O];[O]N(N1[CH]NCN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O]:O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N([O])[O];[O]N(ON(N1C[N]CN(C1)N([O])[O])[O])[O],[O]N=O:[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O];[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O]:C=NCN(N([O])[O])C/N=N/ON([O])[O];[O]N([N]/C=N\CN(N([O])[O])[CH2])[O]:[O]N(N1CN=CN(C1)N([O])[O])[O];[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O],[O]N=O:O=NO[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O]
40000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0
97000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
