t [steps];S0;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S50;S51;S52;S53;S54;S55
;C#N;C1[N]CN=CN1N=O;C=NCN(N(O)[O])/C=N\N1C=NCN(C1)N([O])[O];C=NCN(N([O])[O])C/N=N/ON([O])[O];C=NCN(N([O])[O])C[N]N([O])[O];C=NCN(N([O])[O])[CH2];C=NCN(N([O])[O])[CH]NN([O])[O];C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O];C=NCN=CN=N[O];C=NCNN([O])[O];C=NC[N]N([O])[O];C=NN([O])[O];C=[N];N#N;N=CN(N([O])[O])CN=C;O=NN1C=NCN(C1)N([O])[O];O=NN1CN(CN(C1)N([O])[O])N([O])[O];O=NN1C[N]CN(C1)N([O])[O];O=NN1[CH]N(CN(C1)N([O])[O])N([O])[O];O=NO[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O];ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];ON=O;[CH2]N=C;[CH2]NN([O])[O];[CH]=NCN(N([O])[O])CNN([O])[O];[H];[OH];[O]N(/N=C\NCN(N([O])[O])[CH2])[O];[O]N(C1=C(C)C(=C[C@]([CH]1)(ON(c1cc(cc(c1C)N([O])[O])N([O])[O])[O])N([O])[O])N([O])[O])[O];[O]N(C1=CC(=C([C@]([CH]1)([O])N([O])[O])C)N([O])[O])[O];[O]N(C1=C[C](C(=C([CH]1)N([O])O)C)N([O])[O])[O];[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O];[O]N(N/C=N\N([O])[O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])ON1CN(CN(C1)N([O])[O])N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])O[C@]1([CH]C(=CC(=C1C)N([O])[O])N([O])[O])N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O];[O]N(N1CN=CN(C1)N([O])[O])[O];[O]N(N1CNC=NC1)[O];[O]N(N1C[N]C=NC1)[O];[O]N(N1C[N]CN(C1)N([O])[O])[O];[O]N(N1[CH]NCN(C1)N([O])[O])[O];[O]N(OC1=C(C)[C](C=C([CH]1)N([O])[O])N([O])[O])[O];[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O];[O]N(ON(N1C[N]CN(C1)N([O])[O])[O])[O];[O]N(ON([C]1C=C([CH]C(=C1C)N([O])[O])N([O])[O])[O])[O];[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O];[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])O)C)[O];[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])[O])C)[O];[O]N([N]/C=N\CN(N([O])[O])[CH2])[O];[O]N([N]CN(N([O])[O])[CH2])[O];[O]N([O])[O];[O]N(c1cc(N([O])[O])c(c(c1)N(O)[O])C)[O];[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O];[O]N1CN(CN(C1)N([O])[O])N([O])[O];[O]N=O;[O]N[O]
40000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;192;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;133;0;0;0
87000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;190;0;0;0;2;0;0;0;0;0;0;0;28;0;0;0;0;133;0;2;0
92000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;31;0;0;0;187;0;0;0;4;0;0;0;0;0;0;0;28;0;0;0;0;133;0;4;0
93000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;187;0;0;1;4;0;0;0;0;0;0;0;28;0;0;0;0;133;0;5;0
94000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;185;1;0;0;6;0;0;0;0;0;0;0;28;0;0;0;0;133;0;6;0
97000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;184;1;0;0;6;0;0;0;0;0;0;0;28;0;0;0;0;133;0;7;0
100000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;183;1;0;0;7;0;0;0;0;0;0;0;28;0;0;0;0;133;0;8;0
103000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;182;1;0;0;8;0;0;0;0;0;0;0;28;0;0;0;0;133;0;9;0
104000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;181;1;0;0;9;0;0;0;0;0;0;0;28;0;0;0;0;133;0;10;0
106000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;181;1;0;0;9;0;0;0;0;0;0;0;28;0;0;0;0;133;0;10;0
113000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;180;1;0;0;10;0;0;0;0;0;0;0;28;0;0;0;0;133;0;11;0
115000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;179;1;0;0;11;0;0;0;0;0;0;0;28;0;0;0;0;133;0;12;0
116000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;178;1;0;0;12;0;0;0;0;0;0;0;28;0;0;0;0;133;0;13;0
119000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;177;1;0;0;13;0;0;0;0;0;0;0;28;0;0;0;0;133;0;14;0
121000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;177;1;0;0;12;1;0;0;0;0;0;0;28;0;0;0;0;133;0;14;0
122000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;177;1;1;0;12;0;0;0;0;0;0;0;28;0;0;0;0;133;0;15;0
138000.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;175;1;1;0;14;0;0;0;0;0;0;0;28;0;0;0;0;133;0;17;0
139000.0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;175;1;1;0;13;0;0;0;0;0;0;0;28;0;0;0;0;133;0;17;0
146000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;175;1;1;0;12;0;0;0;0;0;0;0;28;0;0;0;0;133;0;17;0
147000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;174;1;1;0;13;0;0;0;0;0;0;0;28;0;0;0;0;133;0;18;0
149000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;173;1;1;0;14;0;0;0;0;0;0;0;28;0;0;0;0;133;0;19;0
153000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;172;1;1;0;15;0;0;0;0;0;0;0;28;0;0;0;0;133;0;20;0
156000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;171;1;1;0;16;0;0;0;0;0;0;0;28;0;0;0;0;133;0;21;0
169000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;171;1;1;0;15;1;0;0;0;0;0;0;28;0;0;0;0;133;0;21;0
171000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;170;1;1;0;16;1;0;0;0;0;0;0;28;0;0;0;0;133;0;22;0
173000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;170;1;2;0;16;0;0;0;0;0;0;0;28;0;0;0;0;133;0;23;0
177000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;169;1;2;0;17;0;0;0;0;0;0;0;28;0;0;0;0;133;0;24;0
179000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;168;1;2;0;18;0;0;0;0;0;0;0;28;0;0;0;0;133;0;25;0
185000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;167;1;2;0;18;1;0;0;0;0;0;0;28;0;0;0;0;133;0;26;0
188000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;167;1;3;0;18;0;0;0;0;0;0;0;28;0;0;0;0;133;0;27;0
191000.0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;166;1;3;0;19;0;0;0;0;0;0;0;28;0;0;0;0;133;0;28;0
195000.0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;166;1;3;0;19;0;0;0;0;0;0;0;28;0;0;0;0;133;0;28;0
198000.0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;165;1;3;0;20;0;0;0;0;0;0;0;28;0;0;0;0;133;0;29;0
206000.0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;165;1;3;0;20;0;0;0;0;0;0;0;28;0;0;0;0;133;0;29;0
207000.0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;165;1;3;0;19;1;0;0;0;0;0;0;28;0;0;0;0;133;0;29;0
216000.0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;165;1;4;0;19;0;0;0;0;0;0;0;28;0;0;0;0;133;0;30;0
218000.0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;165;1;4;0;18;0;0;0;0;0;0;0;28;0;0;0;0;133;0;30;0
221000.0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;164;1;4;0;18;0;0;1;0;0;0;0;28;0;0;0;0;133;0;29;0
222000.0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;164;1;4;0;18;0;0;0;0;0;0;0;28;0;0;1;0;133;0;29;0
223000.0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;164;0;4;1;18;0;0;0;0;0;0;0;28;0;0;1;0;133;0;31;0
231000.0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;163;0;4;1;19;0;0;0;0;0;0;0;28;0;0;1;0;133;0;32;0
240000.0;0;0;0;0;3;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;163;0;4;1;18;1;0;0;0;0;0;0;28;0;0;1;0;133;0;32;0
246000.0;0;0;0;0;4;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;163;0;4;1;17;1;0;0;0;0;0;0;28;0;0;1;0;133;0;32;0
247000.0;0;0;0;0;4;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;31;0;0;0;160;0;4;1;20;1;0;0;0;0;0;0;28;0;0;1;0;133;0;35;0
