R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R0;S0 -> S4;C3H6N3 -> C3H6N3;C1[N]CN=CN1:C=NCNC=[N];1.428571e+12;6.051905e+10;6.807383e+12;1
R0*;S4 -> S0;C3H6N3 -> C3H6N3;C=NCNC=[N]:C1[N]CN=CN1;0.000000e+00;0.000000e+00;2.995732e+13;0
R1;S1 + S31 -> S23 + S31;C3H6N4O2 + NO2 -> C3H6N4O2 + NO2;C=NC/N=C\NN([O])[O],[O]N=O:[O]N(N1CNC=NC1)[O],[O]N=O;1.505500e+11;6.377800e+09;7.173961e+11;1
R1*;S23 + S31 -> S1 + S31;C3H6N4O2 + NO2 -> C3H6N4O2 + NO2;[O]N(N1CNC=NC1)[O],[O]N=O:C=NC/N=C\NN([O])[O],[O]N=O;0.000000e+00;0.000000e+00;2.540995e+08;0
R2;S2 + S31 -> S7 + S7 + S7;C3H6N5O4 + NO2 -> CH2N2O2 + CH2N2O2 + CH2N2O2;C=NCN(N([O])[O])C[N]N([O])[O],[O]N=O:C=NN([O])[O],C=NN([O])[O],C=NN([O])[O];2.519454e+08;1.067325e+07;1.200562e+09;1
R2*;S7 + S7 + S7 -> S2 + S31;CH2N2O2 + CH2N2O2 + CH2N2O2 -> C3H6N5O4 + NO2;C=NN([O])[O],C=NN([O])[O],C=NN([O])[O]:C=NCN(N([O])[O])C[N]N([O])[O],[O]N=O;0.000000e+00;0.000000e+00;5.133959e+07;0
R3;S2 -> S6 + S7;C3H6N5O4 -> C2H4N3O2 + CH2N2O2;C=NCN(N([O])[O])C[N]N([O])[O]:C=NC[N]N([O])[O],C=NN([O])[O];8.880995e+10;3.122699e+10;1.929742e+11;5
R3*;S6 + S7 -> S2;C2H4N3O2 + CH2N2O2 -> C3H6N5O4;C=NC[N]N([O])[O],C=NN([O])[O]:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;2.495201e+10;0
R4;S2 -> S7 + S7 + S9;C3H6N5O4 -> CH2N2O2 + CH2N2O2 + CH2N;C=NCN(N([O])[O])C[N]N([O])[O]:C=NN([O])[O],C=NN([O])[O],C=[N];1.776199e+10;7.524571e+08;8.463887e+10;1
R4*;S7 + S7 + S9 -> S2;CH2N2O2 + CH2N2O2 + CH2N -> C3H6N5O4;C=NN([O])[O],C=NN([O])[O],C=[N]:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;1.045729e+08;0
R5;S2 -> S23 + S31;C3H6N5O4 -> C3H6N4O2 + NO2;C=NCN(N([O])[O])C[N]N([O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;1.776199e+10;7.524571e+08;8.463887e+10;1
R5*;S23 + S31 -> S2;C3H6N4O2 + NO2 -> C3H6N5O4;[O]N(N1CNC=NC1)[O],[O]N=O:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;2.540995e+08;0
R6;S2 -> S27;C3H6N5O4 -> C3H6N5O4;C=NCN(N([O])[O])C[N]N([O])[O]:[O]N(N1[CH]NCN(C1)N([O])[O])[O];1.776199e+10;7.524571e+08;8.463887e+10;1
R6*;S27 -> S2;C3H6N5O4 -> C3H6N5O4;[O]N(N1[CH]NCN(C1)N([O])[O])[O]:C=NCN(N([O])[O])C[N]N([O])[O];0.000000e+00;0.000000e+00;9.361663e+11;0
R7;S3 -> S10;C3H6N4O2 -> C3H6N4O2;C=NCN/C=N\N([O])[O]:N=CN(N([O])[O])CN=C;7.194245e+10;3.047722e+09;3.428179e+11;1
R7*;S10 -> S3;C3H6N4O2 -> C3H6N4O2;N=CN(N([O])[O])CN=C:C=NCN/C=N\N([O])[O];0.000000e+00;0.000000e+00;1.762195e+11;0
R8;S4 -> S5;C3H6N3 -> C3H6N3;C=NCNC=[N]:C=NC[N]C=N;1.000000e+13;4.236333e+11;4.765168e+13;1
R8*;S5 -> S4;C3H6N3 -> C3H6N3;C=NC[N]C=N:C=NCNC=[N];0.000000e+00;0.000000e+00;1.920341e+11;0
R9;S6 -> S7 + S9;C2H4N3O2 -> CH2N2O2 + CH2N;C=NC[N]N([O])[O]:C=NN([O])[O],C=[N];5.128205e+11;2.008746e+11;1.048064e+12;6
R9*;S7 + S9 -> S6;CH2N2O2 + CH2N -> C2H4N3O2;C=NN([O])[O],C=[N]:C=NC[N]N([O])[O];5.938270e+08;2.515649e+07;2.829686e+09;1
R10;S7 + S8 -> S23 + S31;CH2N2O2 + C2H4N3O2 -> C3H6N4O2 + NO2;C=NN([O])[O],C=N[CH]NN([O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;6.022000e+11;2.551120e+10;2.869584e+12;1
R10*;S23 + S31 -> S7 + S8;C3H6N4O2 + NO2 -> CH2N2O2 + C2H4N3O2;[O]N(N1CNC=NC1)[O],[O]N=O:C=NN([O])[O],C=N[CH]NN([O])[O];0.000000e+00;0.000000e+00;2.540995e+08;0
R11;S7 -> S9 + S31;CH2N2O2 -> CH2N + NO2;C=NN([O])[O]:C=[N],[O]N=O;3.930818e+09;1.665225e+08;1.873101e+10;1
R11*;S9 + S31 -> S7;CH2N + NO2 -> CH2N2O2;C=[N],[O]N=O:C=NN([O])[O];0.000000e+00;0.000000e+00;4.246975e+08;0
R12;S10 -> S5 + S31;C3H6N4O2 -> C3H6N3 + NO2;N=CN(N([O])[O])CN=C:C=NC[N]C=N,[O]N=O;5.882353e+10;2.491961e+09;2.803040e+11;1
R12*;S5 + S31 -> S10;C3H6N3 + NO2 -> C3H6N4O2;C=NC[N]C=N,[O]N=O:N=CN(N([O])[O])CN=C;0.000000e+00;0.000000e+00;2.385967e+09;0
R13;S11 + S19 -> S10;CH2N3O2 + C2H4N -> C3H6N4O2;N=C[N]N([O])[O],[CH2]N=C:N=CN(N([O])[O])CN=C;1.204400e+12;5.102240e+10;5.739169e+12;1
R13*;S10 -> S11 + S19;C3H6N4O2 -> CH2N3O2 + C2H4N;N=CN(N([O])[O])CN=C:N=C[N]N([O])[O],[CH2]N=C;0.000000e+00;0.000000e+00;1.762195e+11;0
R14;S11 + S19 -> S28;CH2N3O2 + C2H4N -> C3H6N4O2;N=C[N]N([O])[O],[CH2]N=C:[O]N(N1[CH]NC[N]C1)[O];1.204400e+12;5.102240e+10;5.739169e+12;1
R14*;S28 -> S11 + S19;C3H6N4O2 -> CH2N3O2 + C2H4N;[O]N(N1[CH]NC[N]C1)[O]:N=C[N]N([O])[O],[CH2]N=C;0.000000e+00;0.000000e+00;1.576701e+12;0
R15;S13 -> S14 + S31;C3H6N7O7 -> C3H6N6O5 + NO2;O=NN(N([O])[O])CN(N([O])[O])CN(N([O])[O])[CH2]:O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N=O;1.694915e+11;7.180226e+09;8.076556e+11;1
