t [steps];R0;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;R31;R32;R33;R34;R35;R36;R37;R38;R39;R40;R41
;S0 -> S4;S1 + S31 -> S23 + S31;S2 + S31 -> S7 + S7 + S7;S2 -> S6 + S7;S2 -> S7 + S7 + S9;S2 -> S23 + S31;S2 -> S27;S3 -> S10;S4 -> S5;S6 -> S7 + S9;S7 + S8 -> S23 + S31;S7 -> S9 + S31;S10 -> S5 + S31;S11 + S19 -> S10;S11 + S19 -> S28;S13 -> S14 + S31;S15 -> S20 + S30;S16 + S21 -> S12 + S14 + S22 + S31;S17 -> S18 + S22;S19 + S29 -> S25;S20 + S21 -> S13;S21 + S25 -> S16 + S22;S21 + S31 -> S14 + S30;S21 -> S2 + S31;S21 -> S19 + S29 + S31;S21 -> S25 + S31;S22 -> S24 + S31;S23 + S31 -> S18 + S24;S23 -> S0 + S31;S25 + S31 -> S17;S25 -> S1 + S31;S25 -> S2;S25 -> S7 + S8;S25 -> S11 + S19 + S31;S25 -> S23 + S31;S25 -> S26 + S31;S25 -> S27;S25 -> S28 + S31;S27 -> S11 + S19 + S31;S27 -> S23 + S31;S28 -> S3;S31 + S31 -> S15
;C3H6N3 -> C3H6N3;C3H6N4O2 + NO2 -> C3H6N4O2 + NO2;C3H6N5O4 + NO2 -> CH2N2O2 + CH2N2O2 + CH2N2O2;C3H6N5O4 -> C2H4N3O2 + CH2N2O2;C3H6N5O4 -> CH2N2O2 + CH2N2O2 + CH2N;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> C3H6N5O4;C3H6N4O2 -> C3H6N4O2;C3H6N3 -> C3H6N3;C2H4N3O2 -> CH2N2O2 + CH2N;CH2N2O2 + C2H4N3O2 -> C3H6N4O2 + NO2;CH2N2O2 -> CH2N + NO2;C3H6N4O2 -> C3H6N3 + NO2;CH2N3O2 + C2H4N -> C3H6N4O2;CH2N3O2 + C2H4N -> C3H6N4O2;C3H6N7O7 -> C3H6N6O5 + NO2;N2O4 -> NO + NO3;C3H7N6O6 + C3H6N6O6 -> H2O + C3H6N6O5 + C3H5N5O4 + NO2;C3H6N6O6 -> HNO2 + C3H5N5O4;C2H4N + CH2N4O4 -> C3H6N5O4;NO + C3H6N6O6 -> C3H6N7O7;C3H6N6O6 + C3H6N5O4 -> C3H7N6O6 + C3H5N5O4;C3H6N6O6 + NO2 -> C3H6N6O5 + NO3;C3H6N6O6 -> C3H6N5O4 + NO2;C3H6N6O6 -> C2H4N + CH2N4O4 + NO2;C3H6N6O6 -> C3H6N5O4 + NO2;C3H5N5O4 -> C3H5N4O2 + NO2;C3H6N4O2 + NO2 -> HNO2 + C3H5N4O2;C3H6N4O2 -> C3H6N3 + NO2;C3H6N5O4 + NO2 -> C3H6N6O6;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> C3H6N5O4;C3H6N5O4 -> CH2N2O2 + C2H4N3O2;C3H6N5O4 -> CH2N3O2 + C2H4N + NO2;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> C3H6N5O4;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N5O4 -> CH2N3O2 + C2H4N + NO2;C3H6N5O4 -> C3H6N4O2 + NO2;C3H6N4O2 -> C3H6N4O2;NO2 + NO2 -> N2O4
;C1[N]CN=CN1:C=NCNC=[N];C=NC/N=C\NN([O])[O],[O]N=O:[O]N(N1CNC=NC1)[O],[O]N=O;C=NCN(N([O])[O])C[N]N([O])[O],[O]N=O:C=NN([O])[O],C=NN([O])[O],C=NN([O])[O];C=NCN(N([O])[O])C[N]N([O])[O]:C=NC[N]N([O])[O],C=NN([O])[O];C=NCN(N([O])[O])C[N]N([O])[O]:C=NN([O])[O],C=NN([O])[O],C=[N];C=NCN(N([O])[O])C[N]N([O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;C=NCN(N([O])[O])C[N]N([O])[O]:[O]N(N1[CH]NCN(C1)N([O])[O])[O];C=NCN/C=N\N([O])[O]:N=CN(N([O])[O])CN=C;C=NCNC=[N]:C=NC[N]C=N;C=NC[N]N([O])[O]:C=NN([O])[O],C=[N];C=NN([O])[O],C=N[CH]NN([O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;C=NN([O])[O]:C=[N],[O]N=O;N=CN(N([O])[O])CN=C:C=NC[N]C=N,[O]N=O;N=C[N]N([O])[O],[CH2]N=C:N=CN(N([O])[O])CN=C;N=C[N]N([O])[O],[CH2]N=C:[O]N(N1[CH]NC[N]C1)[O];O=NN(N([O])[O])CN(N([O])[O])CN(N([O])[O])[CH2]:O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N=O;O=NON([O])[O]:[N]=O,[O]N([O])[O];ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O],[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:O,O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N(N1CN=CN(C1)N([O])[O])[O],[O]N=O;ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O]:ON=O,[O]N(N1CN=CN(C1)N([O])[O])[O];[CH2]N=C,[O]N([N]C[N]N([O])[O])[O]:[O]N(N1C[N]CN(C1)N([O])[O])[O];[N]=O,[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:O=NN(N([O])[O])CN(N([O])[O])CN(N([O])[O])[CH2];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O],[O]N(N1C[N]CN(C1)N([O])[O])[O]:ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O],[O]N(N1CN=CN(C1)N([O])[O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O],[O]N=O:O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:C=NCN(N([O])[O])C[N]N([O])[O],[O]N=O;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:[CH2]N=C,[O]N([N]C[N]N([O])[O])[O],[O]N=O;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:[O]N(N1C[N]CN(C1)N([O])[O])[O],[O]N=O;[O]N(N1CN=CN(C1)N([O])[O])[O]:[O]N(N1C[N]C=NC1)[O],[O]N=O;[O]N(N1CNC=NC1)[O],[O]N=O:ON=O,[O]N(N1C[N]C=NC1)[O];[O]N(N1CNC=NC1)[O]:C1[N]CN=CN1,[O]N=O;[O]N(N1C[N]CN(C1)N([O])[O])[O],[O]N=O:ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];[O]N(N1C[N]CN(C1)N([O])[O])[O]:C=NC/N=C\NN([O])[O],[O]N=O;[O]N(N1C[N]CN(C1)N([O])[O])[O]:C=NCN(N([O])[O])C[N]N([O])[O];[O]N(N1C[N]CN(C1)N([O])[O])[O]:C=NN([O])[O],C=N[CH]NN([O])[O];[O]N(N1C[N]CN(C1)N([O])[O])[O]:N=C[N]N([O])[O],[CH2]N=C,[O]N=O;[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1C[N]C[N]C1)[O],[O]N=O;[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1[CH]NCN(C1)N([O])[O])[O];[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1[CH]NC[N]C1)[O],[O]N=O;[O]N(N1[CH]NCN(C1)N([O])[O])[O]:N=C[N]N([O])[O],[CH2]N=C,[O]N=O;[O]N(N1[CH]NCN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;[O]N(N1[CH]NC[N]C1)[O]:C=NCN/C=N\N([O])[O];[O]N=O,[O]N=O:O=NON([O])[O]
40000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0
119000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
