t [steps];S0;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31
;C1[N]CN=CN1;C=NC/N=C\NN([O])[O];C=NCN(N([O])[O])C[N]N([O])[O];C=NCN/C=N\N([O])[O];C=NCNC=[N];C=NC[N]C=N;C=NC[N]N([O])[O];C=NN([O])[O];C=N[CH]NN([O])[O];C=[N];N=CN(N([O])[O])CN=C;N=C[N]N([O])[O];O;O=NN(N([O])[O])CN(N([O])[O])CN(N([O])[O])[CH2];O=NN1CN(CN(C1)N([O])[O])N([O])[O];O=NON([O])[O];ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O];ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];ON=O;[CH2]N=C;[N]=O;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O];[O]N(N1CN=CN(C1)N([O])[O])[O];[O]N(N1CNC=NC1)[O];[O]N(N1C[N]C=NC1)[O];[O]N(N1C[N]CN(C1)N([O])[O])[O];[O]N(N1C[N]C[N]C1)[O];[O]N(N1[CH]NCN(C1)N([O])[O])[O];[O]N(N1[CH]NC[N]C1)[O];[O]N([N]C[N]N([O])[O])[O];[O]N([O])[O];[O]N=O
40000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;0;0;0;0;0;0;0;0
78000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;0;0;0;1;0;0;0;0;0;1
88000.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;1;0;0;0;0;0;2
93000.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;0;0;0;2;0;0;0;0;0;3
98000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;0;0;0;3;0;0;0;0;0;3
119000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;0;0;0;4;0;0;0;0;0;4
120000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;5;0;0;0;0;0;5
151000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186;0;0;0;6;0;0;0;0;0;6
158000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;7;0;0;0;0;0;7
169000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184;0;0;0;8;0;0;0;0;0;8
174000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;183;1;0;0;7;0;0;0;0;0;8
176000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;182;1;0;0;8;0;0;0;0;0;9
189000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;181;1;0;0;9;0;0;0;0;0;10
193000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;180;1;0;0;10;0;0;0;0;0;11
196000.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;179;1;0;0;10;0;0;0;0;0;12
197000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;179;1;0;0;11;0;0;0;0;0;12
