# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	
1000         96          3	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
2000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
3000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
4000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
5000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
6000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
7000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
8000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
9000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
10000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
11000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
12000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
13000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
14000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
15000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
16000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
17000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
18000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
19000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
20000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
21000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
22000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
23000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
24000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
25000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
26000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
27000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
28000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
29000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
30000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	
31000         95          2	 94	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
32000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
33000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	
34000         95          2	 94	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
35000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
36000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
37000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
38000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
39000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
40000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	
41000         95          2	 94	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
42000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
43000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
44000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
45000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
46000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
47000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
48000         96          4	 93	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
49000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
50000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
51000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
52000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
53000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
54000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
55000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
56000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
57000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
58000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
59000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
60000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
61000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
62000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	
63000         96          3	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N23O22	
64000         97          4	 93	 1	 2	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
65000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
66000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
67000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
68000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
69000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	
70000         95          2	 94	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
71000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
72000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
73000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
74000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	
75000         95          2	 94	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
76000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	
77000         95          2	 94	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
78000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
79000         98          3	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
80000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N12O13	H6C6N12O11	
81000         97          5	 93	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H12C12N24O24	H6C6N12O12	H6C6N11O10	NO2	
82000         96          4	 1	 93	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
83000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
84000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	
85000         96          3	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
86000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
87000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
88000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
89000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	
90000         97          4	 92	 1	 2	 2	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
91000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
92000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
93000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
94000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
95000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
96000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
97000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
98000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
99000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
100000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
101000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
102000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
103000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
104000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
105000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
106000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
107000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	
108000         95          2	 94	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
109000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
110000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
111000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	
112000         96          4	 93	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
113000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
114000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
115000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
116000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
117000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
118000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
119000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
120000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
121000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
122000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
123000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
124000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
125000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
126000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
127000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
128000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
129000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
130000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
131000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
132000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
133000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
134000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
135000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
136000         98          3	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
137000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
138000         98          3	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
139000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
140000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
141000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
142000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
143000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N12O11	H6C6N12O13	
144000         96          3	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
145000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
146000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
147000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
148000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
149000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
150000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
151000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
152000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
153000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
154000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
155000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
156000         96          4	 93	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
157000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
158000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
159000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
160000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
161000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
162000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
163000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
164000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
165000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	
166000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
167000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H7C6N12O12	H5C6N12O12	
168000         96          3	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
169000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
170000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
171000         96          1	 96	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H4C4N8O8	H6C6N11O10	NO2	
172000         99          5	 93	 1	 1	 2	 2	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H4C4N8O8	
173000         97          3	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H4C4N8O8	H6C6N11O10	NO2	
174000         98          5	 94	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H6C6N11O10	NO2	
175000         99          4	 94	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H6C6N11O10	NO2	
176000         99          4	 94	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H6C6N11O10	NO2	
177000         99          4	 94	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H6C6N11O10	NO2	
178000         99          4	 94	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H6C6N11O10	NO2	
179000         99          4	 94	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	
180000         98          5	 92	 1	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	
181000         98          5	 92	 1	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H6C6N11O10	NO2	
182000         99          4	 94	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H6C6N11O10	NO2	
183000         99          4	 94	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N12O11	H6C6N12O13	H2C2N4O4	H6C6N11O10	NO2	
184000         99          6	 92	 1	 1	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H2C2N4O4	H6C6N11O10	NO2	
185000         99          4	 94	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	
186000         98          5	 92	 1	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	
187000        100          5	 90	 3	 3	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	
188000         97          3	 93	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	
189000         97          3	 93	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	
190000         97          3	 93	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	
191000         97          3	 93	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	
192000         98          5	 92	 1	 1	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	
193000         97          3	 93	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	
194000         98          5	 92	 1	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	
195000         97          3	 93	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	
196000         97          3	 93	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	
197000         99          5	 91	 1	 2	 2	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	
198000         97          3	 93	 1	 3	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	
199000         99          5	 91	 1	 3	 2	 2	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	
200000         98          5	 92	 1	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	
201000         98          5	 92	 1	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	
202000         99          5	 91	 1	 3	 2	 2	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N11O9	NO3	
203000         99          7	 91	 1	 3	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N11O9	NO3	
204000         99          7	 91	 1	 3	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
205000        101          8	 90	 2	 2	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N12O11	H6C6N11O11	NO2	H6C6N9O8	N2O	NO3	
206000        100          9	 90	 1	 3	 1	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
207000        100          8	 91	 1	 3	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
208000        100          8	 91	 1	 3	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	H2C2N4O4	H6C6N11O10	H6C6N9O8	N2O	NO3	
209000        101          8	 91	 1	 2	 3	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
210000        100          8	 91	 1	 3	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
211000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
212000        101          8	 90	 2	 2	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
213000        101          8	 90	 1	 2	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
214000        100          8	 91	 1	 3	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O10	N2O2	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
215000        101         10	 90	 1	 1	 1	 3	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
216000        100          8	 91	 1	 3	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
217000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
