# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
1000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
2000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
3000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
4000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
5000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
6000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
7000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
8000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
9000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
10000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
11000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
12000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
13000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
14000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
15000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
16000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
17000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
18000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H12C12N24O24	
19000        287          3	 192	 94	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
20000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
21000        288          2	 192	 96	
