Time_step	NO2	Time_step	NO2	Time_step	NO2	
1000	1	1000	0	1000	0	
2000	0	2000	0	2000	0	
3000	0	3000	0	3000	0	
4000	0	4000	0	4000	0	
5000	0	5000	0	5000	1	
6000	0	6000	0	6000	0	
7000	0	7000	1	7000	0	
8000	0	8000	0	8000	0	
9000	0	9000	0	9000	0	
10000	0	10000	0	10000	0	
11000	0	11000	0	11000	0	
12000	0	12000	0	12000	0	
13000	0	13000	0	13000	0	
14000	0	14000	0	14000	0	
15000	0	15000	1	15000	0	
16000	1	16000	2	16000	0	
17000	0	17000	0	17000	0	
18000	0	18000	1	18000	0	
19000	0	19000	0	19000	0	
20000	0	20000	2	20000	0	
21000	0	21000	1	21000	0	
22000	0	22000	1	22000	0	
23000	0	23000	1	23000	0	
24000	0	24000	0	24000	0	
25000	0	25000	1	25000	1	
26000	0	26000	0	26000	1	
27000	0	27000	1	27000	0	
28000	1	28000	0	28000	0	
29000	0	29000	0	29000	0	
30000	0	30000	0	30000	0	
31000	0	31000	0	31000	0	
32000	0	32000	0	32000	0	
33000	0	33000	0	33000	0	
34000	0	34000	0	34000	0	
35000	0	35000	1	35000	0	
36000	0	36000	0	36000	1	
37000	1	37000	0	37000	0	
38000	1	38000	0	38000	0	
39000	0	39000	0	39000	0	
40000	0	40000	0	40000	0	
41000	0	41000	0	41000	1	
42000	0	42000	0	42000	0	
43000	1	43000	0	43000	0	
44000	0	44000	0	44000	0	
45000	1	45000	0	45000	1	
46000	1	46000	0	46000	0	
47000	0	47000	0	47000	0	
48000	0	48000	1	48000	0	
49000	0	49000	0	49000	0	
50000	1	50000	0	50000	0	
51000	0	51000	0	51000	0	
52000	0	52000	0	52000	0	
53000	0	53000	0	53000	0	
54000	0	54000	0	54000	0	
55000	0	55000	0	55000	0	
56000	0	56000	0	56000	0	
57000	0	57000	1	57000	0	
58000	1	58000	0	58000	0	
59000	1	59000	0	59000	0	
60000	0	60000	0	60000	0	
61000	0	61000	0	61000	0	
62000	0	62000	1	62000	0	
63000	0	63000	2	63000	0	
64000	0	64000	0	64000	0	
65000	0	65000	0	65000	0	
66000	0	66000	0	66000	0	
67000	1	67000	0	67000	0	
68000	1	68000	0	68000	0	
69000	0	69000	0	69000	0	
70000	1	70000	0	70000	0	
71000	1	71000	1	71000	0	
72000	0	72000	0	72000	0	
73000	1	73000	0	73000	0	
74000	1	74000	0	74000	0	
75000	0	75000	0	75000	0	
76000	1	76000	2	76000	0	
77000	0	77000	2	77000	0	
78000	0	78000	2	78000	0	
79000	0	79000	0	79000	0	
80000	0	80000	1	80000	0	
81000	0	81000	0	81000	0	
82000	0	82000	0	82000	0	
83000	0	83000	1	83000	0	
84000	0	84000	0	84000	0	
85000	2	85000	1	85000	0	
86000	1	86000	0	86000	0	
87000	0	87000	1	87000	0	
88000	1	88000	0	88000	0	
89000	0	89000	1	89000	0	
90000	1	90000	1	90000	0	
91000	0	91000	1	91000	0	
92000	2	92000	1	92000	0	
93000	2	93000	0	93000	3	
94000	1	94000	0	94000	1	
95000	3	95000	1	95000	1	
96000	1	96000	1	96000	0	
97000	3	97000	0	97000	1	
98000	2	98000	0	98000	0	
99000	1	99000	0	99000	0	
100000	3	100000	0	100000	1	
101000	2	101000	0	101000	0	
102000	3	102000	0	102000	0	
103000	2	103000	1	103000	1	
104000	1	104000	0	104000	0	
105000	1	105000	0	105000	2	
106000	2	106000	1	106000	0	
107000	1	107000	0	107000	0	
108000	2	108000	1	108000	1	
109000	1	109000	0	109000	0	
110000	1	110000	0	110000	1	
111000	3	111000	0	111000	1	
112000	1	112000	1	112000	0	
113000	2	113000	1	113000	0	
114000	1	114000	2	114000	0	
115000	2	115000	1	115000	0	
116000	1	116000	2	116000	0	
117000	1	117000	2	117000	0	
118000	1	118000	1	118000	1	
119000	2	119000	2	119000	0	
120000	1	120000	1	120000	1	
121000	1	121000	2	121000	1	
122000	2	122000	4	122000	0	
123000	2	123000	2	123000	1	
124000	1	124000	3	124000	1	
125000	1	125000	2	125000	1	
126000	3	126000	3	126000	1	
127000	1	127000	2	127000	0	
128000	1	128000	2	128000	0	
129000	2	129000	2	129000	3	
130000	1	130000	4	130000	0	
131000	1	131000	3	131000	1	
132000	1	132000	2	132000	1	
133000	2	133000	5	133000	1	
134000	1	134000	3	134000	2	
135000	1	135000	4	135000	2	
136000	1	136000	2	136000	1	
137000	1	137000	3	137000	3	
138000	3	138000	3	138000	1	
139000	3	139000	2	139000	2	
140000	3	140000	3	140000	2	
141000	1	141000	2	141000	2	
142000	2	142000	4	142000	2	
143000	2	143000	4	143000	3	
144000	1	144000	2	144000	3	
145000	1	145000	2	145000	4	
146000	2	146000	3	146000	3	
147000	1	147000	3	147000	2	
148000	1	148000	2	148000	2	
149000	2	149000	2	149000	2	
150000	3	150000	2	150000	4	
151000	1	151000	2	151000	2	
152000	1	152000	2	152000	2	
153000	2	153000	3	153000	2	
154000	1	154000	2	154000	3	
155000	2	155000	2	155000	3	
156000	2	156000	2	156000	3	
157000	2	157000	4	157000	2	
158000	1	158000	2	158000	2	
159000	1	159000	3	159000	2	
160000	1	160000	3	160000	2	
161000	2	161000	2	161000	4	
162000	1	162000	2	162000	3	
163000	5	163000	2	163000	4	
164000	1	164000	2	164000	3	
165000	2	165000	3	165000	3	
166000	1	166000	2	166000	5	
167000	1	167000	4	167000	5	
168000	1	168000	2	168000	4	
169000	3	169000	2	169000	3	
170000	1	170000	2	170000	4	
171000	1	171000	4	171000	5	
172000	2	172000	2	172000	4	
173000	2	173000	3	173000	2	
174000	1	174000	4	174000	4	
175000	1	175000	5	175000	5	
176000	2	176000	4	176000	4	
177000	2	177000	4	177000	5	
178000	1	178000	4	178000	4	
179000	1	179000	5	179000	4	
180000	1	180000	5	180000	5	
181000	1	181000	6	181000	5	
182000	1	182000	5	182000	3	
183000	1	183000	5	183000	4	
184000	1	184000	5	184000	4	
185000	1	185000	6	185000	5	
186000	3	186000	6	186000	4	
187000	2	187000	5	187000	4	
188000	1	188000	5	188000	5	
189000	3	189000	5	189000	4	
190000	2	190000	7	190000	4	
191000	1	191000	5	191000	5	
192000	1	192000	5	192000	4	
193000	1	193000	5	193000	4	
194000	1	194000	5	194000	4	
195000	1	195000	5	195000	4	
196000	4	196000	7	196000	4	
197000	1	197000	6	197000	4	
198000	2	198000	5	198000	4	
199000	1	199000	6	199000	4	
200000	2	200000	6	200000	4	
201000	1	201000	5	201000	5	
202000	1	202000	5	202000	4	
203000	1	203000	6	203000	5	
204000	1	204000	6	204000	4	
205000	2	205000	5	205000	4	
206000	1	206000	6	206000	5	
207000	2	207000	5	207000	5	
208000	3	208000	5	208000	7	
209000	1	209000	7	209000	5	
210000	2	210000	6	210000	5	
211000	1	211000	5	211000	6	
212000	2	212000	5	212000	7	
213000	3	213000	5	213000	8	
214000	2	214000	6	214000	7	
215000	2	215000	6	215000	6	
216000	2	216000	5	216000	6	
217000	3	217000	6	217000	6	
218000	4	218000	6	218000	7	
219000	2	219000	6	219000	6	
220000	3	220000	7	220000	7	
221000	4	221000	6	221000	8	
222000	3	222000	7	222000	7	
223000	3	223000	6	223000	8	
224000	3	224000	6	224000	6	
225000	4	225000	6	225000	8	
226000	3	226000	7	226000	8	
227000	3	227000	6	227000	8	
228000	3	228000	6	228000	6	
229000	4	229000	8	229000	6	
230000	4	230000	8	230000	7	
231000	3	231000	7	231000	6	
232000	3	232000	8	232000	6	
233000	3	233000	7	233000	6	
234000	3	234000	7	234000	6	
235000	3	235000	6	235000	6	
236000	4	236000	7	236000	7	
237000	3	237000	6	237000	6	
238000	3	238000	7	238000	6	
239000	4	239000	8	239000	6	
240000	5	240000	8	240000	6	
241000	4	241000	7	241000	6	
242000	4	242000	7	242000	7	
243000	6	243000	6	243000	6	
244000	4	244000	7	244000	6	
245000	4	245000	6	245000	7	
246000	4	246000	6	246000	7	
247000	4	247000	7	247000	6	
248000	5	248000	7	248000	6	
249000	4	249000	7	249000	6	
250000	4	250000	6	250000	6	
251000	5	251000	6	251000	8	
252000	4	252000	6	252000	6	
253000	5	253000	6	253000	7	
254000	4	254000	7	254000	6	
255000	5	255000	7	255000	7	
256000	4	256000	7	256000	7	
257000	4	257000	8	257000	6	
258000	4	258000	8	258000	6	
259000	5	259000	7	259000	6	
260000	4	260000	8	260000	6	
261000	4	261000	7	261000	6	
262000	4	262000	8	262000	7	
263000	5	263000	8	263000	7	
264000	5	264000	7	264000	6	
265000	4	265000	8	265000	8	
266000	4	266000	7	266000	7	
267000	4	267000	7	267000	5	
268000	4	268000	8	268000	5	
269000	6	269000	7	269000	6	
270000	5	270000	8	270000	7	
271000	6	271000	9	271000	7	
272000	5	272000	7	272000	8	
273000	4	273000	7	273000	10	
274000	4	274000	8	274000	9	
275000	4	275000	8	275000	8	
276000	4	276000	8	276000	9	
277000	7	277000	8	277000	8	
278000	7	278000	8	278000	9	
279000	7	279000	9	279000	8	
280000	8	280000	7	280000	8	
281000	9	281000	10	281000	9	
282000	7	282000	8	282000	8	
283000	7	283000	7	283000	8	
284000	7	284000	8	284000	9	
285000	9	285000	8	285000	9	
286000	7	286000	7	286000	8	
287000	8	287000	7	287000	9	
288000	7	288000	7	288000	9	
289000	8	289000	8	289000	8	
290000	7	290000	8	290000	8	
291000	7	291000	8	291000	8	
292000	7	292000	8	292000	9	
293000	7	293000	8	293000	10	
294000	7	294000	10	294000	10	
295000	8	295000	10	295000	9	
296000	9	296000	10	296000	9	
297000	8	297000	9	297000	10	
298000	7	298000	10	298000	10	
299000	7	299000	8	299000	10	
300000	7	300000	8	300000	10	
301000	7	301000	9	301000	10	
302000	8	302000	8	302000	11	
303000	7	303000	11	303000	11	
304000	7	304000	10	304000	12	
