Time_step	H6C6N12O12	Time_step	H6C6N12O12	Time_step	H6C6N12O12	
1000	95	1000	96	1000	96	
2000	96	2000	96	2000	96	
3000	94	3000	96	3000	96	
4000	96	4000	96	4000	96	
5000	96	5000	96	5000	96	
6000	96	6000	96	6000	96	
7000	96	7000	94	7000	96	
8000	96	8000	96	8000	96	
9000	96	9000	96	9000	96	
10000	96	10000	96	10000	96	
11000	96	11000	96	11000	96	
12000	96	12000	96	12000	96	
13000	92	13000	96	13000	96	
14000	94	14000	96	14000	94	
15000	96	15000	96	15000	96	
16000	96	16000	96	16000	95	
17000	96	17000	95	17000	96	
18000	96	18000	96	18000	96	
19000	96	19000	96	19000	96	
20000	96	20000	93	20000	96	
21000	96	21000	96	21000	94	
22000	96	22000	96	22000	96	
23000	96	23000	96	23000	94	
24000	96	24000	94	24000	95	
25000	96	25000	96	25000	94	
26000	94	26000	96	26000	96	
27000	96	27000	96	27000	96	
28000	96	28000	96	28000	96	
29000	96	29000	96	29000	96	
30000	96	30000	96	30000	96	
31000	96	31000	94	31000	96	
32000	96	32000	96	32000	96	
33000	96	33000	96	33000	96	
34000	96	34000	94	34000	92	
35000	96	35000	96	35000	96	
36000	96	36000	94	36000	96	
37000	96	37000	94	37000	96	
38000	96	38000	96	38000	92	
39000	96	39000	93	39000	93	
40000	96	40000	96	40000	96	
41000	96	41000	96	41000	96	
42000	94	42000	96	42000	96	
43000	95	43000	94	43000	95	
44000	93	44000	96	44000	96	
45000	96	45000	94	45000	96	
46000	96	46000	95	46000	96	
47000	96	47000	96	47000	96	
48000	96	48000	96	48000	94	
49000	96	49000	96	49000	96	
50000	92	50000	96	50000	95	
51000	93	51000	92	51000	96	
52000	96	52000	94	52000	95	
53000	96	53000	94	53000	96	
54000	94	54000	94	54000	96	
55000	96	55000	94	55000	96	
56000	96	56000	96	56000	96	
57000	95	57000	96	57000	96	
58000	96	58000	96	58000	96	
59000	96	59000	94	59000	96	
60000	96	60000	94	60000	96	
61000	96	61000	96	61000	96	
62000	94	62000	96	62000	96	
63000	96	63000	96	63000	96	
64000	96	64000	93	64000	96	
65000	95	65000	96	65000	96	
66000	96	66000	94	66000	94	
67000	96	67000	96	67000	96	
68000	95	68000	96	68000	94	
69000	96	69000	96	69000	96	
70000	96	70000	96	70000	96	
71000	96	71000	96	71000	96	
72000	96	72000	96	72000	96	
73000	96	73000	96	73000	96	
74000	96	74000	96	74000	94	
75000	95	75000	94	75000	96	
76000	94	76000	96	76000	96	
77000	96	77000	95	77000	96	
78000	94	78000	96	78000	96	
79000	96	79000	96	79000	96	
80000	96	80000	96	80000	94	
81000	96	81000	94	81000	96	
82000	96	82000	96	82000	95	
83000	96	83000	96	83000	96	
84000	96	84000	96	84000	95	
85000	95	85000	95	85000	96	
86000	96	86000	96	86000	96	
87000	94	87000	96	87000	95	
88000	96	88000	96	88000	96	
89000	96	89000	96	89000	95	
90000	93	90000	95	90000	96	
91000	95	91000	92	91000	96	
92000	96	92000	93	92000	94	
93000	95	93000	92	93000	95	
94000	92	94000	94	94000	96	
95000	96	95000	94	95000	92	
96000	96	96000	96	96000	96	
97000	95	97000	96	97000	93	
98000	95	98000	96	98000	91	
99000	96	99000	96	99000	94	
100000	96	100000	95	100000	93	
101000	94	101000	96	101000	96	
102000	94	102000	96	102000	96	
103000	92	103000	96	103000	94	
104000	93	104000	96	104000	96	
105000	94	105000	96	105000	95	
106000	94	106000	96	106000	93	
107000	94	107000	96	107000	96	
108000	94	108000	96	108000	96	
109000	92	109000	96	109000	94	
110000	94	110000	96	110000	95	
111000	93	111000	95	111000	94	
112000	94	112000	94	112000	94	
113000	94	113000	93	113000	95	
114000	93	114000	95	114000	94	
115000	91	115000	94	115000	92	
116000	92	116000	93	116000	94	
117000	91	117000	94	117000	93	
118000	92	118000	92	118000	94	
119000	91	119000	95	119000	94	
120000	93	120000	95	120000	94	
121000	93	121000	95	121000	94	
122000	93	122000	94	122000	93	
123000	90	123000	94	123000	91	
124000	92	124000	93	124000	91	
125000	87	125000	95	125000	92	
126000	89	126000	93	126000	92	
