Time_step	NO2	Time_step	NO2	Time_step	NO2	
1000	1	1000	0	1000	0	
2000	0	2000	0	2000	0	
3000	1	3000	0	3000	0	
4000	0	4000	0	4000	0	
5000	0	5000	0	5000	0	
6000	0	6000	0	6000	0	
7000	0	7000	0	7000	0	
8000	0	8000	0	8000	0	
9000	0	9000	0	9000	0	
10000	0	10000	0	10000	0	
11000	0	11000	0	11000	0	
12000	0	12000	0	12000	0	
13000	1	13000	0	13000	0	
14000	0	14000	0	14000	1	
15000	0	15000	0	15000	0	
16000	0	16000	0	16000	1	
17000	0	17000	1	17000	0	
18000	0	18000	0	18000	0	
19000	0	19000	0	19000	0	
20000	0	20000	1	20000	0	
21000	0	21000	0	21000	0	
22000	0	22000	0	22000	0	
23000	0	23000	0	23000	0	
24000	0	24000	0	24000	1	
25000	0	25000	0	25000	0	
26000	0	26000	0	26000	0	
27000	0	27000	0	27000	0	
28000	0	28000	0	28000	0	
29000	0	29000	0	29000	0	
30000	0	30000	0	30000	0	
31000	0	31000	0	31000	0	
32000	0	32000	0	32000	0	
33000	0	33000	0	33000	0	
34000	0	34000	0	34000	0	
35000	0	35000	0	35000	0	
36000	0	36000	0	36000	0	
37000	0	37000	0	37000	0	
38000	0	38000	0	38000	0	
39000	0	39000	1	39000	1	
40000	0	40000	0	40000	0	
41000	0	41000	0	41000	0	
42000	0	42000	0	42000	0	
43000	1	43000	0	43000	0	
44000	2	44000	0	44000	0	
45000	0	45000	0	45000	0	
46000	0	46000	1	46000	0	
47000	0	47000	0	47000	0	
48000	0	48000	0	48000	0	
49000	0	49000	0	49000	0	
50000	0	50000	0	50000	1	
51000	1	51000	0	51000	0	
52000	0	52000	0	52000	1	
53000	0	53000	0	53000	0	
54000	1	54000	0	54000	0	
55000	0	55000	0	55000	0	
56000	0	56000	0	56000	0	
57000	0	57000	0	57000	0	
58000	0	58000	0	58000	0	
59000	0	59000	1	59000	0	
60000	0	60000	0	60000	0	
61000	0	61000	0	61000	0	
62000	0	62000	0	62000	0	
63000	0	63000	0	63000	0	
64000	0	64000	1	64000	0	
65000	1	65000	0	65000	0	
66000	0	66000	0	66000	2	
67000	0	67000	0	67000	0	
68000	1	68000	0	68000	0	
69000	0	69000	0	69000	0	
70000	0	70000	0	70000	0	
71000	0	71000	0	71000	0	
72000	0	72000	0	72000	0	
73000	0	73000	0	73000	0	
74000	0	74000	0	74000	0	
75000	1	75000	0	75000	0	
76000	0	76000	0	76000	0	
77000	0	77000	1	77000	0	
78000	2	78000	0	78000	0	
79000	0	79000	0	79000	0	
80000	0	80000	0	80000	0	
81000	0	81000	1	81000	0	
82000	0	82000	0	82000	1	
83000	0	83000	0	83000	0	
84000	0	84000	0	84000	1	
85000	1	85000	1	85000	0	
86000	0	86000	0	86000	0	
87000	1	87000	0	87000	1	
88000	0	88000	0	88000	0	
89000	0	89000	0	89000	1	
90000	1	90000	1	90000	0	
91000	1	91000	1	91000	0	
92000	0	92000	1	92000	0	
93000	1	93000	0	93000	1	
94000	2	94000	0	94000	0	
95000	0	95000	0	95000	2	
96000	0	96000	0	96000	0	
97000	1	97000	0	97000	1	
98000	1	98000	0	98000	3	
99000	0	99000	0	99000	0	
100000	0	100000	1	100000	1	
101000	0	101000	0	101000	0	
102000	0	102000	0	102000	0	
103000	2	103000	0	103000	2	
104000	1	104000	0	104000	0	
105000	0	105000	0	105000	1	
106000	0	106000	0	106000	1	
107000	0	107000	0	107000	0	
108000	0	108000	0	108000	0	
109000	2	109000	0	109000	2	
110000	0	110000	0	110000	1	
111000	1	111000	1	111000	2	
112000	0	112000	2	112000	2	
113000	0	113000	3	113000	1	
114000	1	114000	1	114000	0	
115000	3	115000	2	115000	2	
116000	2	116000	3	116000	0	
117000	2	117000	2	117000	1	
118000	2	118000	4	118000	0	
119000	1	119000	1	119000	0	
120000	1	120000	1	120000	0	
121000	1	121000	1	121000	0	
122000	1	122000	2	122000	1	
123000	4	123000	2	123000	3	
124000	2	124000	3	124000	1	
125000	4	125000	1	125000	0	
126000	3	126000	3	126000	0	
127000	5	127000	1	127000	0	
128000	5	128000	1	128000	1	
129000	4	129000	3	129000	0	
130000	4	130000	1	130000	4	
131000	5	131000	3	131000	0	
132000	5	132000	1	132000	2	
133000	5	133000	3	133000	4	
134000	6	134000	3	134000	1	
135000	5	135000	4	135000	1	
136000	5	136000	4	136000	2	
137000	7	137000	6	137000	3	
138000	5	138000	5	138000	2	
139000	5	139000	6	139000	2	
140000	5	140000	6	140000	2	
141000	5	141000	7	141000	3	
142000	5	142000	8	142000	3	
143000	6	143000	11	143000	8	
144000	6	144000	12	144000	5	
145000	11	145000	10	145000	5	
146000	7	146000	12	146000	7	
147000	8	147000	12	147000	7	
148000	8	148000	13	148000	9	
149000	9	149000	11	149000	9	
150000	8	150000	12	150000	12	
151000	11	151000	13	151000	13	
152000	12	152000	13	152000	14	
153000	13	153000	15	153000	14	
154000	16	154000	17	154000	13	
155000	15	155000	19	155000	17	
156000	14	156000	21	156000	17	
157000	15	157000	21	157000	19	
158000	18	158000	25	158000	22	
159000	19	159000	23	159000	24	
160000	21	160000	26	160000	24	
161000	22	161000	29	161000	28	
162000	23	162000	35	162000	28	
163000	26	163000	31	163000	31	
164000	25	164000	35	164000	31	
165000	27	165000	36	165000	37	
166000	28	166000	37	166000	34	
167000	27	167000	39	167000	35	
168000	32	168000	42	168000	38	
169000	30	169000	40	169000	39	
170000	35	170000	44	170000	39	
171000	35	171000	45	171000	42	
172000	36	172000	48	172000	44	
173000	36	173000	49	173000	48	
174000	42	174000	47	174000	46	
175000	44	175000	55	175000	49	
176000	44	176000	49	176000	53	
177000	49	177000	52	177000	54	
178000	50	178000	53	178000	59	
179000	56	179000	55	179000	60	
180000	56	180000	56	180000	56	
181000	59	181000	60	181000	62	
182000	64	182000	61	182000	64	
183000	62	183000	65	183000	66	
184000	65	184000	64	184000	67	
185000	67	185000	66	185000	72	
186000	73	186000	72	186000	72	
187000	70	187000	75	187000	73	
188000	72	188000	77	188000	77	
189000	73	189000	83	189000	82	
190000	77	190000	81	190000	87	
191000	80	191000	80	191000	88	
192000	82	192000	82	192000	89	
193000	83	193000	86	193000	94	
194000	88	194000	89	194000	93	
195000	90	195000	89	195000	100	
196000	91	196000	90	196000	100	
197000	93	197000	90	197000	102	
198000	96	198000	91	198000	103	
199000	99	199000	95	199000	102	
200000	100	200000	97	200000	110	
201000	98	201000	100	201000	107	
202000	102	202000	101	202000	114	
203000	107	203000	100	203000	113	
204000	106	204000	104	204000	113	
205000	108	205000	104	205000	118	
206000	109	206000	105	206000	117	
207000	113	207000	104	207000	120	
208000	113	208000	110	208000	120	
209000	121	209000	112	209000	126	
210000	119	210000	111	210000	125	
211000	123	211000	115	211000	126	
212000	125	212000	116	212000	128	
213000	126	213000	118	213000	133	
214000	128	214000	127	214000	134	
215000	128	215000	125	215000	137	
216000	133	216000	127	216000	137	
217000	135	217000	130	217000	138	
218000	131	218000	130	218000	139	
219000	131	219000	131	219000	142	
220000	134	220000	138	220000	142	
221000	135	221000	135	221000	146	
222000	135	222000	135	222000	149	
223000	140	223000	134	223000	148	
224000	139	224000	134	224000	147	
225000	142	225000	136	225000	150	
226000	139	226000	137	226000	149	
227000	146	227000	140	227000	150	
228000	149	228000	140	228000	154	
229000	154	229000	142	229000	155	
230000	157	230000	142	230000	156	
231000	159	231000	144	231000	163	
232000	161	232000	146	232000	164	
233000	161	233000	148	233000	163	
234000	163	234000	150	234000	167	
235000	164	235000	157	235000	166	
236000	170	236000	153	236000	170	
237000	169	237000	154	237000	172	
238000	170	238000	158	238000	174	
239000	171	239000	161	239000	177	
240000	174	240000	166	240000	181	
241000	176	241000	171	241000	179	
242000	181	242000	177	242000	184	
243000	181	243000	178	243000	186	
244000	182	244000	179	244000	192	
245000	182	245000	175	245000	197	
246000	181	246000	178	246000	198	
247000	184	247000	180	247000	202	
248000	186	248000	181	248000	202	
249000	186	249000	183	249000	203	
250000	187	250000	182	250000	207	
251000	191	251000	184	251000	208	
252000	192	252000	185	252000	207	
253000	194	253000	192	253000	208	
254000	195	254000	194	254000	212	
255000	197	255000	194	255000	214	
256000	201	256000	197	256000	214	
257000	203	257000	199	257000	216	
258000	207	258000	198	258000	216	
259000	209	259000	200	259000	219	
260000	211	260000	201	260000	221	
261000	216	261000	204	261000	222	
262000	216	262000	205	262000	227	
263000	218	263000	208	263000	223	
264000	221	264000	212	264000	226	
265000	222	265000	215	265000	226	
266000	225	266000	221	266000	228	
267000	227	267000	223	267000	230	
268000	231	268000	224	268000	234	
269000	234	269000	226	269000	236	
270000	238	270000	233	270000	233	
271000	241	271000	233	271000	236	
272000	243	272000	236	272000	240	
273000	248	273000	242	273000	244	
274000	249	274000	242	274000	243	
275000	250	275000	247	275000	250	
276000	255	276000	247	276000	249	
277000	255	277000	248	277000	253	
278000	255	278000	255	278000	253	
279000	259	279000	253	279000	256	
280000	263	280000	257	280000	257	
281000	263	281000	259	281000	258	
282000	269	282000	262	282000	259	
283000	269	283000	268	283000	262	
284000	268	284000	273	284000	262	
285000	270	285000	274	285000	267	
286000	275	286000	275	286000	266	
287000	276	287000	287	287000	266	
288000	279	288000	285	288000	268	
289000	278	289000	292	289000	272	
290000	279	290000	293	290000	275	
