# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
1000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H12C12N23O22	NO2	
2000        288          4	 192	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
3000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
4000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
5000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H12C12N24O24	
6000        287          3	 192	 94	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
7000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
8000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H12C12N24O24	
9000        287          3	 192	 94	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
10000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
11000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
12000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
13000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N12O11	H6C6N12O13	
14000        288          4	 192	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
15000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
16000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
17000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
18000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
19000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
20000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
21000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
22000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
23000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N12O13	H6C6N12O11	
24000        288          4	 192	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
25000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
26000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
27000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
28000        288          2	 192	 96	
