Time_step	NO2	Time_step	NO2	Time_step	NO2	
1000	1	1000	1	1000	1	
2000	6	2000	1	2000	1	
3000	1	3000	4	3000	4	
4000	7	4000	6	4000	6	
5000	3	5000	3	5000	3	
6000	3	6000	3	6000	3	
7000	3	7000	2	7000	2	
8000	3	8000	3	8000	3	
9000	2	9000	1	9000	1	
10000	1	10000	0	10000	0	
11000	2	11000	2	11000	2	
12000	2	12000	2	12000	2	
13000	2	13000	4	13000	4	
14000	4	14000	3	14000	3	
15000	4	15000	1	15000	1	
16000	4	16000	2	16000	2	
17000	2	17000	2	17000	2	
18000	1	18000	4	18000	4	
19000	2	19000	2	19000	2	
20000	2	20000	1	20000	1	
21000	2	21000	2	21000	2	
22000	2	22000	6	22000	6	
23000	3	23000	3	23000	3	
24000	3	24000	0	24000	0	
25000	2	25000	2	25000	2	
26000	1	26000	1	26000	1	
27000	1	27000	0	27000	0	
28000	2	28000	0	28000	0	
29000	3	29000	4	29000	4	
30000	4	30000	0	30000	0	
31000	3	31000	0	31000	0	
32000	4	32000	1	32000	1	
33000	1	33000	2	33000	2	
34000	1	34000	3	34000	3	
35000	3	35000	3	35000	3	
36000	2	36000	2	36000	2	
37000	3	37000	1	37000	1	
38000	1	38000	3	38000	3	
39000	1	39000	3	39000	3	
40000	5	40000	2	40000	2	
41000	2	41000	3	41000	3	
42000	3	42000	1	42000	1	
43000	4	43000	1	43000	1	
44000	6	44000	1	44000	1	
45000	4	45000	4	45000	4	
46000	4	46000	3	46000	3	
47000	1	47000	6	47000	6	
48000	2	48000	6	48000	6	
49000	2	49000	3	49000	3	
50000	2	50000	8	50000	8	
51000	4	51000	5	51000	5	
52000	4	52000	6	52000	6	
53000	1	53000	3	53000	3	
54000	6	54000	7	54000	7	
55000	5	55000	6	55000	6	
56000	2	56000	5	56000	5	
57000	7	57000	5	57000	5	
58000	5	58000	8	58000	8	
59000	6	59000	7	59000	7	
60000	10	60000	4	60000	4	
61000	7	61000	6	61000	6	
62000	15	62000	12	62000	12	
63000	9	63000	11	63000	11	
64000	9	64000	9	64000	9	
65000	7	65000	7	65000	7	
66000	7	66000	13	66000	13	
67000	12	67000	10	67000	10	
68000	4	68000	10	68000	10	
69000	6	69000	10	69000	10	
70000	6	70000	15	70000	15	
71000	12	71000	7	71000	7	
72000	7	72000	11	72000	11	
73000	10	73000	6	73000	6	
74000	7	74000	10	74000	10	
75000	12	75000	11	75000	11	
76000	15	76000	21	76000	21	
77000	8	77000	9	77000	9	
78000	13	78000	12	78000	12	
79000	13	79000	11	79000	11	
80000	17	80000	10	80000	10	
81000	5	81000	16	81000	16	
82000	12	82000	11	82000	11	
83000	14	83000	10	83000	10	
84000	9	84000	10	84000	10	
85000	12	85000	10	85000	10	
86000	9	86000	15	86000	15	
87000	12	87000	18	87000	18	
88000	17	88000	15	88000	15	
89000	18	89000	11	89000	11	
90000	17	90000	15	90000	15	
91000	18	91000	13	91000	13	
92000	13	92000	15	92000	15	
93000	17	93000	11	93000	11	
94000	22	94000	23	94000	23	
95000	18	95000	14	95000	14	
96000	22	96000	12	96000	12	
97000	13	97000	16	97000	16	
98000	20	98000	20	98000	20	
99000	17	99000	23	99000	23	
100000	27	100000	18	100000	18	
101000	20	101000	14	101000	14	
102000	19	102000	20	102000	20	
103000	23	103000	23	103000	23	
104000	26	104000	18	104000	18	
105000	24	105000	25	105000	25	
106000	22	106000	21	106000	21	
107000	23	107000	24	107000	24	
108000	25	108000	25	108000	25	
109000	29	109000	24	109000	24	
110000	26	110000	27	110000	27	
111000	31	111000	21	111000	21	
112000	27	112000	30	112000	30	
113000	24	113000	20	113000	20	
114000	26	114000	25	114000	25	
115000	29	115000	23	115000	23	
116000	30	116000	26	116000	26	
117000	32	117000	23	117000	23	
118000	33	118000	25	118000	25	
119000	29	119000	21	119000	21	
120000	30	120000	33	120000	33	
121000	36	121000	27	121000	27	
122000	33	122000	30	122000	30	
123000	38	123000	27	123000	27	
124000	39	124000	26	124000	26	
125000	33	125000	28	125000	28	
126000	38	126000	28	126000	28	
127000	43	127000	37	127000	37	
128000	41	128000	24	128000	24	
129000	38	129000	40	129000	40	
130000	41	130000	37	130000	37	
131000	36	131000	36	131000	36	
132000	41	132000	37	132000	37	
133000	37	133000	36	133000	36	
134000	35	134000	35	134000	35	
135000	43	135000	36	135000	36	
136000	40	136000	40	136000	40	
137000	36	137000	39	137000	39	
138000	39	138000	32	138000	32	
139000	36	139000	39	139000	39	
140000	33	140000	40	140000	40	
141000	37	141000	39	141000	39	
142000	39	142000	44	142000	44	
143000	37	143000	45	143000	45	
144000	41	144000	39	144000	39	
145000	41	145000	41	145000	41	
146000	43	146000	45	146000	45	
147000	42	147000	46	147000	46	
148000	40	148000	40	148000	40	
149000	45	149000	39	149000	39	
150000	43	150000	40	150000	40	
151000	39	151000	42	151000	42	
152000	46	152000	43	152000	43	
153000	44	153000	47	153000	47	
154000	53	154000	44	154000	44	
155000	46	155000	47	155000	47	
156000	47	156000	45	156000	45	
157000	44	157000	46	157000	46	
158000	51	158000	56	158000	56	
159000	49	159000	52	159000	52	
160000	50	160000	49	160000	49	
161000	53	161000	54	161000	54	
162000	51	162000	54	162000	54	
163000	61	163000	57	163000	57	
164000	55	164000	54	164000	54	
165000	50	165000	67	165000	67	
166000	52	166000	62	166000	62	
167000	49	167000	59	167000	59	
168000	48	168000	51	168000	51	
169000	51	169000	58	169000	58	
170000	56	170000	55	170000	55	
171000	52	171000	59	171000	59	
172000	49	172000	53	172000	53	
173000	53	173000	63	173000	63	
174000	52	174000	58	174000	58	
175000	53	175000	55	175000	55	
