Time_step	H2N	Time_step	H2N	Time_step	H2N	
1000	0	1000	0	1000	0	
2000	0	2000	0	2000	0	
3000	0	3000	0	3000	0	
4000	0	4000	0	4000	0	
5000	0	5000	0	5000	0	
6000	0	6000	0	6000	0	
7000	0	7000	0	7000	0	
8000	0	8000	0	8000	0	
9000	0	9000	0	9000	0	
10000	0	10000	0	10000	0	
11000	0	11000	0	11000	0	
12000	0	12000	0	12000	0	
13000	0	13000	0	13000	0	
14000	0	14000	0	14000	0	
15000	0	15000	0	15000	0	
16000	0	16000	0	16000	0	
17000	0	17000	0	17000	0	
18000	0	18000	0	18000	0	
19000	0	19000	0	19000	0	
20000	0	20000	0	20000	0	
21000	0	21000	0	21000	0	
22000	0	22000	0	22000	0	
23000	0	23000	0	23000	0	
24000	0	24000	0	24000	0	
25000	0	25000	0	25000	0	
26000	0	26000	0	26000	0	
27000	0	27000	0	27000	0	
28000	0	28000	0	28000	0	
29000	0	29000	0	29000	0	
30000	0	30000	0	30000	0	
31000	0	31000	0	31000	0	
32000	0	32000	0	32000	0	
33000	0	33000	0	33000	0	
34000	0	34000	0	34000	0	
35000	0	35000	0	35000	0	
36000	0	36000	0	36000	0	
37000	0	37000	0	37000	0	
38000	0	38000	0	38000	0	
39000	0	39000	0	39000	0	
40000	0	40000	0	40000	0	
41000	0	41000	0	41000	0	
42000	0	42000	0	42000	0	
43000	0	43000	0	43000	0	
44000	0	44000	0	44000	0	
45000	0	45000	0	45000	0	
46000	0	46000	0	46000	0	
47000	0	47000	0	47000	0	
48000	1	48000	0	48000	0	
49000	0	49000	0	49000	0	
50000	0	50000	0	50000	0	
51000	0	51000	0	51000	0	
52000	0	52000	0	52000	0	
53000	0	53000	0	53000	0	
54000	0	54000	0	54000	2	
55000	0	55000	0	55000	0	
56000	0	56000	0	56000	0	
57000	0	57000	0	57000	0	
58000	0	58000	1	58000	0	
59000	0	59000	0	59000	0	
60000	2	60000	0	60000	1	
61000	0	61000	0	61000	0	
62000	1	62000	0	62000	1	
63000	0	63000	0	63000	1	
64000	0	64000	2	64000	0	
65000	1	65000	0	65000	1	
66000	0	66000	0	66000	0	
67000	0	67000	2	67000	1	
68000	1	68000	0	68000	0	
69000	2	69000	0	69000	0	
70000	0	70000	2	70000	2	
71000	3	71000	0	71000	1	
72000	1	72000	0	72000	0	
73000	1	73000	1	73000	1	
74000	3	74000	1	74000	1	
75000	1	75000	0	75000	1	
76000	4	76000	0	76000	3	
77000	3	77000	3	77000	1	
78000	0	78000	3	78000	2	
79000	4	79000	4	79000	2	
80000	1	80000	2	80000	4	
81000	2	81000	1	81000	2	
82000	2	82000	3	82000	1	
83000	3	83000	4	83000	3	
84000	0	84000	3	84000	5	
85000	4	85000	2	85000	8	
86000	3	86000	4	86000	4	
87000	4	87000	5	87000	2	
88000	4	88000	7	88000	5	
89000	3	89000	5	89000	6	
90000	4	90000	3	90000	4	
91000	10	91000	7	91000	5	
92000	8	92000	7	92000	6	
93000	6	93000	6	93000	11	
94000	7	94000	6	94000	5	
95000	6	95000	9	95000	8	
96000	11	96000	10	96000	7	
97000	9	97000	14	97000	9	
98000	10	98000	10	98000	4	
99000	8	99000	13	99000	7	
100000	10	100000	12	100000	7	
101000	11	101000	10	101000	8	
102000	10	102000	11	102000	11	
103000	13	103000	11	103000	9	
104000	12	104000	13	104000	10	
105000	11	105000	10	105000	14	
106000	11	106000	10	106000	12	
107000	13	107000	15	107000	10	
108000	11	108000	8	108000	15	
109000	12	109000	10	109000	13	
110000	14	110000	13	110000	12	
111000	14	111000	12	111000	13	
112000	13	112000	14	112000	15	
113000	13	113000	13	113000	14	
114000	15	114000	12	114000	13	
115000	19	115000	11	115000	13	
116000	16	116000	12	116000	13	
117000	15	117000	12	117000	17	
118000	18	118000	14	118000	17	
119000	16	119000	15	119000	20	
120000	15	120000	15	120000	21	
121000	18	121000	15	121000	22	
122000	16	122000	14	122000	20	
123000	18	123000	14	123000	23	
124000	21	124000	16	124000	22	
125000	19	125000	16	125000	22	
126000	23	126000	16	126000	25	
127000	20	127000	18	127000	20	
128000	21	128000	16	128000	23	
129000	21	129000	17	129000	25	
130000	22	130000	15	130000	23	
131000	20	131000	15	131000	23	
132000	23	132000	14	132000	23	
133000	20	133000	15	133000	26	
134000	20	134000	15	134000	28	
135000	22	135000	16	135000	28	
136000	22	136000	18	136000	30	
137000	22	137000	16	137000	32	
138000	23	138000	17	138000	30	
139000	20	139000	19	139000	30	
140000	24	140000	20	140000	33	
141000	21	141000	19	141000	33	
142000	21	142000	22	142000	33	
143000	26	143000	24	143000	30	
144000	24	144000	22	144000	30	
145000	23	145000	17	145000	31	
146000	23	146000	20	146000	31	
147000	24	147000	19	147000	35	
148000	24	148000	20	148000	36	
149000	23	149000	23	149000	36	
150000	25	150000	21	150000	36	
151000	25	151000	21	151000	37	
152000	26	152000	20	152000	37	
153000	27	153000	20	153000	38	
154000	26	154000	19	154000	38	
155000	24	155000	22	155000	37	
156000	24	156000	23	156000	40	
157000	26	157000	22	157000	39	
158000	29	158000	24	158000	37	
159000	28	159000	21	159000	38	
160000	30	160000	20	160000	38	
161000	29	161000	23	161000	36	
162000	26	162000	26	162000	39	
163000	28	163000	27	163000	37	
164000	27	164000	27	164000	38	
165000	28	165000	26	165000	38	
166000	27	166000	24	166000	41	
167000	25	167000	26	167000	41	
168000	26	168000	25	168000	44	
169000	26	169000	25	169000	39	
170000	26	170000	24	170000	35	
171000	26	171000	25	171000	39	
172000	25	172000	27	172000	35	
173000	28	173000	24	173000	34	
174000	26	174000	24	174000	35	
175000	27	175000	25	175000	36	
176000	28	176000	28	176000	36	
177000	25	177000	27	177000	37	
178000	27	178000	25	178000	39	
179000	29	179000	28	179000	36	
180000	30	180000	29	180000	37	
181000	25	181000	27	181000	38	
182000	24	182000	29	182000	41	
183000	24	183000	27	183000	41	
184000	26	184000	30	184000	39	
185000	25	185000	28	185000	38	
186000	25	186000	30	186000	42	
187000	24	187000	30	187000	43	
188000	25	188000	34	188000	39	
189000	24	189000	30	189000	39	
190000	24	190000	30	190000	40	
191000	23	191000	30	191000	38	
192000	23	192000	29	192000	38	
193000	20	193000	30	193000	38	
194000	21	194000	33	194000	37	
195000	21	195000	31	195000	36	
196000	24	196000	32	196000	38	
197000	19	197000	33	197000	37	
198000	22	198000	31	198000	40	
199000	21	199000	33	199000	39	
200000	19	200000	37	200000	39	
201000	22	201000	35	201000	37	
202000	23	202000	36	202000	40	
203000	21	203000	34	203000	40	
204000	21	204000	34	204000	40	
205000	20	205000	32	205000	38	
206000	21	206000	36	206000	33	
207000	22	207000	34	207000	36	
208000	22	208000	34	208000	38	
209000	22	209000	35	209000	38	
210000	22	210000	37	210000	37	
211000	23	211000	40	211000	40	
212000	25	212000	35	212000	39	
213000	27	213000	35	213000	37	
214000	25	214000	37	214000	39	
215000	24	215000	35	215000	39	
216000	25	216000	32	216000	39	
217000	23	217000	35	217000	40	
218000	23	218000	33	218000	40	
