Time_step	H5C7N3O6	Time_step	H5C7N3O6	Time_step	H5C7N3O6	
1000	192	1000	192	1000	192	
2000	192	2000	192	2000	192	
3000	192	3000	192	3000	192	
4000	192	4000	192	4000	192	
5000	192	5000	192	5000	192	
6000	192	6000	192	6000	192	
7000	192	7000	192	7000	192	
8000	192	8000	192	8000	192	
9000	192	9000	192	9000	192	
10000	192	10000	192	10000	192	
11000	192	11000	192	11000	192	
12000	191	12000	192	12000	192	
13000	192	13000	191	13000	192	
14000	192	14000	192	14000	192	
15000	192	15000	191	15000	192	
16000	192	16000	192	16000	192	
17000	192	17000	192	17000	192	
18000	192	18000	192	18000	192	
19000	192	19000	192	19000	192	
20000	192	20000	192	20000	192	
21000	191	21000	192	21000	191	
22000	189	22000	191	22000	192	
23000	191	23000	191	23000	192	
24000	191	24000	190	24000	191	
25000	191	25000	192	25000	191	
26000	192	26000	192	26000	192	
27000	191	27000	190	27000	192	
28000	191	28000	192	28000	191	
29000	190	29000	191	29000	192	
30000	192	30000	191	30000	192	
31000	192	31000	189	31000	192	
32000	190	32000	192	32000	191	
33000	191	33000	192	33000	191	
34000	190	34000	192	34000	190	
35000	189	35000	191	35000	191	
36000	189	36000	191	36000	191	
37000	190	37000	188	37000	189	
38000	189	38000	190	38000	191	
39000	191	39000	191	39000	192	
40000	188	40000	191	40000	192	
41000	192	41000	191	41000	190	
42000	191	42000	190	42000	191	
43000	191	43000	192	43000	192	
44000	190	44000	191	44000	191	
45000	192	45000	192	45000	192	
46000	190	46000	190	46000	191	
47000	190	47000	190	47000	192	
48000	192	48000	191	48000	190	
49000	190	49000	191	49000	192	
50000	191	50000	192	50000	191	
51000	191	51000	191	51000	189	
52000	190	52000	190	52000	191	
53000	191	53000	189	53000	192	
54000	192	54000	190	54000	191	
55000	190	55000	189	55000	192	
56000	192	56000	192	56000	192	
57000	189	57000	191	57000	192	
58000	191	58000	191	58000	192	
59000	192	59000	191	59000	192	
60000	192	60000	191	60000	192	
61000	191	61000	191	61000	190	
62000	190	62000	190	62000	191	
63000	191	63000	192	63000	192	
64000	192	64000	191	64000	192	
65000	191	65000	191	65000	192	
66000	191	66000	192	66000	192	
67000	191	67000	192	67000	191	
68000	191	68000	191	68000	191	
69000	191	69000	191	69000	192	
70000	191	70000	190	70000	192	
71000	192	71000	190	71000	192	
72000	191	72000	191	72000	192	
73000	192	73000	192	73000	191	
74000	191	74000	192	74000	192	
75000	192	75000	191	75000	192	
76000	191	76000	192	76000	192	
77000	191	77000	191	77000	192	
78000	191	78000	192	78000	192	
79000	191	79000	192	79000	192	
80000	192	80000	190	80000	192	
81000	192	81000	192	81000	191	
82000	192	82000	192	82000	191	
83000	191	83000	192	83000	192	
84000	190	84000	191	84000	190	
85000	191	85000	192	85000	192	
86000	191	86000	192	86000	192	
87000	192	87000	192	87000	190	
88000	191	88000	192	88000	191	
89000	191	89000	192	89000	192	
90000	191	90000	192	90000	192	
91000	192	91000	191	91000	191	
92000	192	92000	192	92000	192	
93000	191	93000	192	93000	191	
94000	192	94000	192	94000	191	
95000	192	95000	192	95000	192	
96000	191	96000	192	96000	189	
97000	192	97000	192	97000	192	
98000	192	98000	192	98000	191	
99000	192	99000	191	99000	191	
100000	192	100000	192	100000	191	
101000	192	101000	191	101000	191	
102000	191	102000	192	102000	191	
103000	191	103000	192	103000	191	
104000	190	104000	192	104000	191	
105000	191	105000	192	105000	192	
106000	191	106000	191	106000	192	
107000	191	107000	192	107000	190	
108000	192	108000	191	108000	192	
109000	191	109000	191	109000	190	
110000	192	110000	192	110000	191	
111000	192	111000	191	111000	192	
112000	190	112000	191	112000	190	
113000	192	113000	189	113000	190	
114000	192	114000	192	114000	191	
115000	190	115000	192	115000	192	
116000	191	116000	189	116000	191	
