Time_step	NO2	Time_step	NO2	Time_step	NO2	
1000	0	1000	0	1000	0	
2000	0	2000	0	2000	0	
3000	0	3000	0	3000	0	
4000	0	4000	0	4000	0	
5000	0	5000	0	5000	0	
6000	0	6000	0	6000	0	
7000	0	7000	0	7000	0	
8000	0	8000	0	8000	0	
9000	0	9000	0	9000	0	
10000	0	10000	0	10000	0	
11000	0	11000	0	11000	0	
12000	0	12000	0	12000	0	
13000	0	13000	0	13000	0	
14000	0	14000	0	14000	0	
15000	0	15000	0	15000	0	
16000	0	16000	0	16000	0	
17000	0	17000	0	17000	0	
18000	0	18000	0	18000	0	
19000	0	19000	0	19000	0	
20000	0	20000	0	20000	0	
21000	0	21000	0	21000	0	
22000	0	22000	0	22000	0	
23000	0	23000	0	23000	0	
24000	0	24000	0	24000	0	
25000	0	25000	0	25000	0	
26000	0	26000	0	26000	0	
27000	0	27000	0	27000	0	
28000	0	28000	0	28000	0	
29000	0	29000	0	29000	0	
30000	0	30000	0	30000	0	
31000	0	31000	0	31000	0	
32000	0	32000	0	32000	0	
33000	0	33000	0	33000	0	
34000	0	34000	0	34000	0	
35000	0	35000	0	35000	0	
36000	0	36000	0	36000	0	
37000	0	37000	0	37000	0	
38000	0	38000	0	38000	0	
39000	0	39000	0	39000	0	
40000	0	40000	0	40000	0	
41000	0	41000	0	41000	0	
42000	0	42000	0	42000	0	
43000	0	43000	0	43000	0	
44000	0	44000	0	44000	0	
45000	0	45000	0	45000	0	
46000	0	46000	0	46000	0	
47000	0	47000	0	47000	0	
48000	0	48000	0	48000	0	
49000	0	49000	0	49000	0	
50000	0	50000	0	50000	0	
51000	0	51000	0	51000	0	
52000	0	52000	0	52000	0	
53000	0	53000	0	53000	0	
54000	0	54000	0	54000	0	
55000	0	55000	0	55000	0	
56000	0	56000	0	56000	0	
57000	0	57000	0	57000	0	
58000	0	58000	0	58000	0	
59000	0	59000	0	59000	0	
60000	0	60000	0	60000	0	
61000	0	61000	0	61000	0	
62000	0	62000	0	62000	0	
63000	0	63000	0	63000	0	
64000	0	64000	0	64000	0	
65000	0	65000	0	65000	0	
66000	0	66000	0	66000	0	
67000	0	67000	0	67000	0	
68000	0	68000	0	68000	0	
69000	0	69000	0	69000	0	
70000	0	70000	0	70000	0	
71000	0	71000	0	71000	0	
72000	0	72000	0	72000	0	
73000	0	73000	0	73000	0	
74000	0	74000	0	74000	0	
75000	0	75000	0	75000	0	
76000	0	76000	0	76000	0	
77000	0	77000	0	77000	0	
78000	0	78000	0	78000	0	
79000	0	79000	0	79000	0	
80000	0	80000	0	80000	0	
81000	0	81000	0	81000	0	
82000	0	82000	0	82000	0	
83000	0	83000	0	83000	0	
84000	0	84000	0	84000	0	
85000	0	85000	0	85000	0	
86000	0	86000	0	86000	0	
87000	0	87000	0	87000	0	
88000	0	88000	0	88000	0	
89000	0	89000	0	89000	0	
90000	0	90000	0	90000	0	
91000	0	91000	0	91000	0	
92000	0	92000	0	92000	0	
93000	0	93000	0	93000	0	
94000	0	94000	0	94000	0	
95000	0	95000	0	95000	0	
96000	0	96000	0	96000	0	
97000	0	97000	0	97000	0	
98000	0	98000	0	98000	0	
99000	0	99000	0	99000	0	
100000	0	100000	0	100000	0	
101000	0	101000	0	101000	0	
102000	0	102000	0	102000	0	
103000	0	103000	0	103000	0	
104000	0	104000	0	104000	0	
105000	0	105000	0	105000	0	
106000	0	106000	0	106000	0	
107000	0	107000	0	107000	0	
108000	0	108000	0	108000	0	
109000	0	109000	0	109000	0	
110000	0	110000	0	110000	0	
111000	0	111000	0	111000	0	
112000	0	112000	0	112000	0	
113000	0	113000	0	113000	0	
114000	0	114000	0	114000	0	
115000	0	115000	0	115000	0	
116000	0	116000	0	116000	0	
117000	0	117000	0	117000	0	
118000	0	118000	0	118000	0	
119000	0	119000	0	119000	0	
120000	0	120000	0	120000	0	
121000	0	121000	0	121000	0	
122000	0	122000	1	122000	0	
123000	0	123000	0	123000	0	
124000	0	124000	0	124000	0	
125000	0	125000	0	125000	0	
126000	0	126000	0	126000	0	
127000	0	127000	0	127000	0	
128000	0	128000	0	128000	0	
129000	0	129000	0	129000	0	
130000	0	130000	0	130000	0	
131000	0	131000	0	131000	0	
132000	0	132000	0	132000	0	
133000	0	133000	0	133000	0	
134000	0	134000	0	134000	0	
135000	1	135000	0	135000	0	
136000	0	136000	0	136000	0	
137000	0	137000	0	137000	0	
138000	0	138000	0	138000	0	
139000	0	139000	0	139000	0	
140000	0	140000	0	140000	0	
141000	1	141000	0	141000	0	
142000	1	142000	0	142000	0	
143000	2	143000	0	143000	0	
144000	1	144000	0	144000	0	
145000	1	145000	0	145000	1	
146000	1	146000	1	146000	0	
147000	1	147000	1	147000	0	
148000	1	148000	2	148000	0	
149000	1	149000	1	149000	0	
150000	1	150000	2	150000	0	
151000	1	151000	3	151000	0	
152000	1	152000	2	152000	0	
153000	1	153000	2	153000	0	
154000	1	154000	2	154000	1	
155000	1	155000	2	155000	1	
156000	1	156000	2	156000	1	
157000	1	157000	3	157000	0	
158000	2	158000	2	158000	1	
159000	1	159000	2	159000	0	
160000	1	160000	2	160000	0	
161000	1	161000	3	161000	0	
162000	2	162000	5	162000	0	
163000	2	163000	6	163000	3	
164000	4	164000	5	164000	2	
165000	3	165000	5	165000	2	
166000	4	166000	6	166000	3	
167000	3	167000	5	167000	2	
168000	3	168000	9	168000	5	
169000	5	169000	8	169000	6	
170000	5	170000	8	170000	3	
171000	5	171000	9	171000	5	
172000	5	172000	8	172000	4	
173000	8	173000	11	173000	5	
174000	7	174000	9	174000	6	
175000	7	175000	10	175000	9	
176000	9	176000	11	176000	10	
177000	9	177000	11	177000	10	
178000	14	178000	12	178000	11	
179000	15	179000	14	179000	11	
180000	17	180000	15	180000	12	
181000	19	181000	16	181000	10	
182000	21	182000	17	182000	13	
183000	24	183000	20	183000	14	
184000	24	184000	20	184000	17	
185000	23	185000	22	185000	16	
186000	25	186000	22	186000	20	
187000	24	187000	24	187000	19	
188000	27	188000	26	188000	20	
189000	28	189000	28	189000	21	
190000	30	190000	30	190000	20	
191000	29	191000	33	191000	22	
192000	31	192000	31	192000	23	
193000	37	193000	36	193000	22	
194000	39	194000	39	194000	25	
195000	37	195000	40	195000	29	
196000	39	196000	42	196000	32	
197000	41	197000	47	197000	34	
198000	44	198000	47	198000	33	
199000	49	199000	50	199000	37	
200000	49	200000	52	200000	35	
201000	52	201000	55	201000	36	
202000	56	202000	57	202000	41	
203000	59	203000	60	203000	49	
204000	68	204000	61	204000	50	
205000	68	205000	64	205000	52	
206000	72	206000	72	206000	51	
207000	75	207000	73	207000	55	
208000	81	208000	74	208000	57	
209000	85	209000	76	209000	63	
210000	86	210000	81	210000	68	
211000	92	211000	79	211000	68	
212000	95	212000	84	212000	77	
213000	96	213000	91	213000	79	
214000	102	214000	91	214000	82	
215000	108	215000	99	215000	83	
216000	108	216000	103	216000	88	
217000	114	217000	105	217000	85	
218000	116	218000	104	218000	89	
